,Energy,Gradient,Iteration,Noise,Time
0,-10.44790563,0.75629784,0.0,0.00545,1.45
1,-10.38631832,0.64230335,1.0,0.00638,2.84
2,-10.40854142,0.67439598,2.0,0.00628,4.23
3,-10.44453112,0.56384238,3.0,0.0056,5.61
4,-10.48498532,0.51926624,4.0,0.0064,6.99
5,-10.52153061,0.36871766,5.0,0.00464,8.37
6,-10.53650648,0.40170314,6.0,0.00408,9.76
7,-10.56593863,0.29672974,7.0,0.00381,11.15
8,-10.57429155,0.29805949,8.0,0.0037,12.54
9,-10.57158463,0.32951808,9.0,0.00366,13.98
10,-10.59839897,0.25515186,10.0,0.00321,15.36
11,-10.60481719,0.23712377,11.0,0.00324,16.76
12,-10.61649225,0.24908065,12.0,0.00288,18.14
13,-10.61911244,0.25579783,13.0,0.00294,19.53
14,-10.63427544,0.20235573,14.0,0.00262,20.93
15,-10.64553145,0.17327717,15.0,0.00258,22.32
16,-10.64381046,0.21089016,16.0,0.00264,23.71
17,-10.6425812,0.23149561,17.0,0.00324,25.1
18,-10.64900035,0.22184116,18.0,0.00314,26.49
19,-10.65619963,0.19123578,19.0,0.00283,27.9
20,-10.65741868,0.23000697,20.0,0.00279,29.42
21,-10.66913064,0.1820078,21.0,0.00224,30.88
22,-10.66942964,0.17959504,22.0,0.00253,32.28
23,-10.67148345,0.13572978,23.0,0.00233,33.67
24,-10.6801599,0.16017826,24.0,0.00236,35.06
25,-10.67866245,0.17963873,25.0,0.00234,36.45
26,-10.68736409,0.13600423,26.0,0.002,37.85
27,-10.68624426,0.15752433,27.0,0.00201,39.26
28,-10.69320197,0.14627993,28.0,0.00198,40.66
29,-10.69676443,0.13493532,29.0,0.00212,42.06
30,-10.70085899,0.12979707,30.0,0.00202,43.45
31,-10.70018541,0.12009683,31.0,0.0019,44.86
32,-10.70701956,0.11925208,32.0,0.00175,46.26
33,-10.70831833,0.10806145,33.0,0.00192,47.66
34,-10.71206231,0.12064399,34.0,0.00214,49.06
35,-10.71331411,0.10500321,35.0,0.00186,50.46
36,-10.71625319,0.1159396,36.0,0.00176,51.86
37,-10.72107517,0.08609543,37.0,0.00143,53.27
38,-10.72053342,0.08412384,38.0,0.0016,55.76
39,-10.71982871,0.11846336,39.0,0.00204,57.38
40,-10.72565285,0.0965219,40.0,0.00184,58.86
41,-10.73018152,0.0956111,41.0,0.00148,60.39
42,-10.73114881,0.09366797,42.0,0.00139,61.79
43,-10.73156435,0.09392818,43.0,0.00183,63.2
44,-10.73665357,0.09637619,44.0,0.00142,64.6
45,-10.73544212,0.09401321,45.0,0.00173,66.01
46,-10.73861912,0.09976915,46.0,0.00147,67.42
47,-10.73903742,0.08004691,47.0,0.00157,68.82
48,-10.74196904,0.07602373,48.0,0.00145,70.23
49,-10.74442147,0.08287457,49.0,0.00132,71.64
50,-10.74585655,0.09510018,50.0,0.00124,73.05
51,-10.74820192,0.07966985,51.0,0.00108,74.5
52,-10.749464,0.08382033,52.0,0.00104,75.91
53,-10.74763284,0.09149471,53.0,0.0012,77.32
54,-10.74930822,0.08726177,54.0,0.0012,78.72
55,-10.75104274,0.09296707,55.0,0.00113,80.12
56,-10.75237352,0.09601597,56.0,0.00108,81.53
57,-10.75282375,0.1262413,57.0,0.00118,82.94
58,-10.75160736,0.08957788,58.0,0.0014,84.34
59,-10.75054808,0.09207737,59.0,0.00135,85.75
60,-10.75259873,0.07390556,60.0,0.00116,87.15
61,-10.75205874,0.08362551,61.0,0.00118,88.56
62,-10.75251966,0.07303279,62.0,0.00105,90.15
63,-10.75308862,0.08915592,63.0,0.00115,91.57
64,-10.75253397,0.07740984,64.0,0.0011,92.98
65,-10.7544891,0.0704227,65.0,0.00107,94.38
66,-10.75400905,0.08655251,66.0,0.0011,95.79
67,-10.75605749,0.06587324,67.0,0.000888,97.19
68,-10.75498915,0.07834938,68.0,0.00101,98.6
69,-10.75649521,0.08307577,69.0,0.000908,100.01
70,-10.75513609,0.06994441,70.0,0.000932,101.42
71,-10.75643323,0.06666434,71.0,0.000853,102.82
72,-10.75691577,0.05895612,72.0,0.000871,104.23
73,-10.757345,0.06106564,73.0,0.000937,105.63
74,-10.75796635,0.06342763,74.0,0.000805,107.04
75,-10.75676898,0.08270783,75.0,0.000913,108.44
76,-10.75872402,0.07151597,76.0,0.000966,109.85
77,-10.75829118,0.06061165,77.0,0.000845,111.25
78,-10.75635093,0.07696561,78.0,0.00117,112.66
79,-10.75634271,0.07202591,79.0,0.00123,114.07
80,-10.75712905,0.0605853,80.0,0.000803,115.47
81,-10.75971625,0.05197667,81.0,0.000722,116.88
82,-10.75885256,0.08343919,82.0,0.00086,118.29
83,-10.75864517,0.07305838,83.0,0.000852,119.86
84,-10.75911086,0.06064352,84.0,0.0008,121.28
85,-10.76026548,0.06262683,85.0,0.000768,122.69
86,-10.75979977,0.05547977,86.0,0.000712,124.09
87,-10.76039098,0.06673797,87.0,0.000794,125.5
88,-10.75968118,0.07642123,88.0,0.00088,126.9
89,-10.7586144,0.0619629,89.0,0.00077,128.31
90,-10.76057006,0.07326325,90.0,0.0008,129.71
91,-10.76032559,0.05804834,91.0,0.000756,131.12
