,Energy,Gradient,Iteration,Noise,Time
0,-10.44790563,0.75629784,0.0,0.00545,1.5
1,-10.46156739,0.29047742,1.0,0.00551,11.13
2,-10.60800286,0.14773718,2.0,0.0027,20.17
3,-10.65349903,0.17790313,3.0,0.00308,30.96
4,-10.70726953,0.05371888,4.0,0.00155,39.13
5,-10.70580316,0.05981337,5.0,0.00162,50.7
6,-10.72159936,0.09021415,6.0,0.00186,59.94
7,-10.73192684,0.06849199,7.0,0.00126,69.08
8,-10.73535559,0.07101838,8.0,0.00133,84.05
9,-10.74834225,0.09824431,9.0,0.00147,95.4
10,-10.7577941,0.07334823,10.0,0.0011,106.39
11,-10.76314748,0.05419362,11.0,0.000682,118.92
12,-10.76474592,0.0417352,12.0,0.000565,135.42
13,-10.76527685,0.04337832,13.0,0.000557,160.17
14,-10.76595515,0.03052025,14.0,0.000482,186.33
15,-10.76432429,0.06776048,15.0,0.000804,210.07
16,-10.76608716,0.04553361,16.0,0.000589,222.45
17,-10.76771003,0.02777856,17.0,0.0005,237.71
18,-10.76788732,0.02593194,18.0,0.000491,262.63
19,-10.76607509,0.04501605,19.0,0.000647,286.17
20,-10.76717207,0.02688409,20.0,0.000496,301.51
21,-10.76609916,0.0380925,21.0,0.000621,325.05
22,-10.76761402,0.03330289,22.0,0.000488,340.51
23,-10.76696491,0.04161876,23.0,0.000508,362.74
24,-10.76730179,0.02139705,24.0,0.000457,385.22
25,-10.76742102,0.01681475,25.0,0.000447,408.72
26,-10.76750292,0.0259877,26.0,0.000472,430.53
27,-10.76790193,0.03775271,27.0,0.000533,454.79
28,-10.76748647,0.02527679,28.0,0.000455,469.87
29,-10.76765263,0.01719235,29.0,0.000467,493.68
30,-10.76718436,0.02457027,30.0,0.000626,516.55
31,-10.76774903,0.01398868,31.0,0.00042,528.47
32,-10.76755998,0.0156101,32.0,0.000436,551.49
33,-10.76851301,0.01945098,33.0,0.000432,575.71
34,-10.76805761,0.02758268,34.0,0.000439,597.95
35,-10.76761109,0.03415746,35.0,0.000467,620.93
36,-10.76847759,0.0153947,36.0,0.000449,643.56
37,-10.7679059,0.01564373,37.0,0.000429,665.91
38,-10.76861556,0.01917498,38.0,0.000437,689.14
39,-10.76900235,0.0191626,39.0,0.00044,712.23
40,-10.76857729,0.01139516,40.0,0.000437,735.86
41,-10.76737973,0.01485292,41.0,0.000442,757.65
42,-10.76834359,0.01523078,42.0,0.000435,779.47
43,-10.76757387,0.0289149,43.0,0.000438,802.26
44,-10.76864274,0.029662,44.0,0.000426,824.35
45,-10.76762858,0.02216032,45.0,0.000482,846.2
46,-10.76755713,0.02063962,46.0,0.000465,868.29
47,-10.76799276,0.01889044,47.0,0.000441,891.02
48,-10.76881379,0.02274782,48.0,0.000456,913.9
49,-10.76780948,0.02039754,49.0,0.000438,936.74
50,-10.76857665,0.01678956,50.0,0.000436,958.76
51,-10.76828169,0.01764582,51.0,0.00044,984.65
52,-10.76758262,0.0145045,52.0,0.000446,1006.7
53,-10.76717237,0.02361947,53.0,0.000454,1029.68
54,-10.76719649,0.02419231,54.0,0.000488,1053.21
55,-10.76756824,0.04971834,55.0,0.0005,1075.23
56,-10.76850994,0.01608236,56.0,0.000458,1097.07
57,-10.76861753,0.0185102,57.0,0.000446,1121.4
58,-10.76820823,0.01918242,58.0,0.000463,1145.08
59,-10.76784421,0.02068016,59.0,0.000447,1168.35
60,-10.76769433,0.01713416,60.0,0.000444,1192.55
61,-10.76810449,0.01619392,61.0,0.000456,1215.66
62,-10.76837508,0.01499839,62.0,0.000448,1237.58
63,-10.76837589,0.01384032,63.0,0.000444,1259.38
64,-10.76767604,0.14843351,64.0,0.000531,1282.44
65,-10.7683246,0.01819794,65.0,0.000446,1305.02
66,-10.7682185,0.01589362,66.0,0.000431,1326.89
67,-10.76850908,0.01528301,67.0,0.000425,1349.21
68,-10.76859738,0.01072597,68.0,0.000436,1372.91
69,-10.76729289,0.02371935,69.0,0.000467,1395.84
70,-10.76878044,0.01939305,70.0,0.000432,1418.44
71,-10.767121,0.0669139,71.0,0.000478,1441.32
