,Energy,Gradient,Iteration,Noise,Time
0,-75.47034421,0.17563349,0.0,0.00223,66.8
1,-75.57690711,0.07349903,1.0,0.00114,111.1
2,-75.60431821,0.0474664,2.0,0.00101,194.47
3,-75.6121125,0.04280455,3.0,0.00091,295.83
4,-75.61786628,0.03515395,4.0,0.000834,439.34
5,-75.62234141,0.03783519,5.0,0.000801,533.58
6,-75.62492159,0.04378345,6.0,0.000758,605.91
7,-75.6265542,0.03381697,7.0,0.000739,711.93
8,-75.62700808,0.03054423,8.0,0.000719,811.89
9,-75.62845539,0.03789709,9.0,0.00075,919.35
10,-75.62787016,0.03343314,10.0,0.000721,1041.13
11,-75.62868704,0.03269239,11.0,0.000725,1165.74
12,-75.62883637,0.03193934,12.0,0.000743,1311.31
13,-75.62850838,0.03585018,13.0,0.000688,1457.88
14,-75.62930314,0.03093538,14.0,0.000697,1601.12
15,-75.62887305,0.04198597,15.0,0.000722,1731.3
16,-75.62916298,0.04086924,16.0,0.000715,1882.61
17,-75.62962288,0.03476735,17.0,0.000697,1993.34
18,-75.62894576,0.09078473,18.0,0.00106,2147.28
19,-75.62941081,0.07847907,19.0,0.000729,2225.31
20,-75.62915625,0.03246507,20.0,0.000683,2369.16
21,-75.6284591,0.04088507,21.0,0.000703,2469.51
22,-75.62934734,0.04764809,22.0,0.000702,2601.62
23,-75.62987698,0.03853188,23.0,0.000729,2737.02
24,-75.62918382,0.03423991,24.0,0.000722,2891.41
25,-75.62992574,0.03303005,25.0,0.000664,3004.87
26,-75.6294912,0.08159149,26.0,0.000811,3135.78
27,-75.62926611,0.05440258,27.0,0.000764,3242.04
28,-75.62947672,0.05166431,28.0,0.000719,3370.13
29,-75.62954963,0.05726945,29.0,0.000799,3462.21
30,-75.62965633,0.05310352,30.0,0.000694,3583.95
31,-75.63009281,0.05019456,31.0,0.000736,3736.55
32,-75.63014322,0.08310448,32.0,0.000801,3861.92
33,-75.6295762,0.03849634,33.0,0.000719,4011.4
34,-75.62960226,0.05065235,34.0,0.000775,4162.27
35,-75.6300898,0.0543112,35.0,0.000728,4298.4
36,-75.62995659,0.04908989,36.0,0.000749,4430.81
37,-75.629577,0.08966559,37.0,0.000737,4541.86
38,-75.62926898,0.03548478,38.0,0.000707,4679.63
39,-75.62962792,0.04286479,39.0,0.000788,4828.63
40,-75.63024007,0.03875967,40.0,0.00074,4979.57
41,-75.62961015,0.04232996,41.0,0.000726,5060.5
42,-75.62942113,0.04354394,42.0,0.000713,5199.18
43,-75.62976055,0.05184764,43.0,0.000701,5341.81
44,-75.62939595,0.04031921,44.0,0.000695,5458.1
45,-75.62936227,0.04662051,45.0,0.000754,5590.03
46,-75.62992152,0.05100327,46.0,0.00079,5733.96
47,-75.63017307,0.04392156,47.0,0.000728,5831.31
48,-75.62931784,0.03735199,48.0,0.00074,5934.71
49,-75.63008307,0.04901678,49.0,0.000754,6034.63
