,Energy,Gradient,Iteration,Noise,Time
0,-75.47034421,0.17563349,0.0,0.00223,2.46
1,-75.4429822,0.82036087,1.0,0.0027,4.97
2,-75.49809514,0.52935981,2.0,0.00198,7.47
3,-75.53028549,0.47355633,3.0,0.00197,9.97
4,-75.51305493,0.70224585,4.0,0.00235,12.47
5,-75.54934449,0.44960067,5.0,0.00202,14.97
6,-75.5560969,0.38294965,6.0,0.00191,17.48
7,-75.57026696,0.28202799,7.0,0.00164,19.98
8,-75.58480938,0.19241325,8.0,0.00149,22.48
9,-75.58090253,0.22059968,9.0,0.00143,24.97
10,-75.59005498,0.1896127,10.0,0.00141,27.52
11,-75.5921221,0.17696661,11.0,0.00139,30.03
12,-75.5936258,0.17433404,12.0,0.0013,32.53
13,-75.59995642,0.11634468,13.0,0.00116,35.03
14,-75.59775243,0.14675852,14.0,0.00119,37.53
15,-75.59901389,0.14163934,15.0,0.00116,40.03
16,-75.60513924,0.08540183,16.0,0.0011,42.55
17,-75.60563119,0.10840213,17.0,0.0011,45.05
18,-75.60536014,0.12035256,18.0,0.00109,47.54
19,-75.60668701,0.08714751,19.0,0.00106,50.05
20,-75.60767029,0.08962197,20.0,0.00108,52.56
21,-75.60731532,0.10121818,21.0,0.00105,55.1
22,-75.61071343,0.07586793,22.0,0.00103,57.65
23,-75.61166621,0.07149941,23.0,0.001,60.16
24,-75.61204087,0.08289769,24.0,0.000989,62.66
25,-75.61249601,0.07024769,25.0,0.000989,65.17
26,-75.61467544,0.07206948,26.0,0.000961,67.67
27,-75.61595592,0.07037519,27.0,0.000999,70.2
28,-75.61699812,0.0530734,28.0,0.000908,72.7
29,-75.61810059,0.05875522,29.0,0.000897,75.2
30,-75.61789168,0.06565179,30.0,0.000948,77.7
31,-75.61846472,0.04889873,31.0,0.000878,80.21
32,-75.6196394,0.04902105,32.0,0.00087,82.72
33,-75.61940754,0.05073691,33.0,0.000871,85.23
34,-75.62005359,0.04404999,34.0,0.000863,87.83
35,-75.62133393,0.03927139,35.0,0.000919,90.33
36,-75.62174658,0.041783,36.0,0.000812,92.83
37,-75.62105479,0.03863572,37.0,0.000818,95.34
38,-75.62199598,0.03555001,38.0,0.000837,97.84
39,-75.6231445,0.03715738,39.0,0.000873,100.35
40,-75.62310236,0.02917164,40.0,0.000852,102.84
41,-75.62316126,0.03520199,41.0,0.000899,105.37
42,-75.62285311,0.03166685,42.0,0.000821,107.88
43,-75.62416723,0.02528855,43.0,0.000796,110.39
44,-75.62437126,0.02992334,44.0,0.000818,112.89
45,-75.62434905,0.02938546,45.0,0.000892,115.42
46,-75.62378976,0.02541122,46.0,0.000774,117.93
47,-75.62370652,0.02180692,47.0,0.000832,120.44
48,-75.62448048,0.02430783,48.0,0.000794,122.95
49,-75.62484536,0.02471792,49.0,0.000916,125.48
50,-75.62490122,0.02348025,50.0,0.000768,127.97
51,-75.62541132,0.0247147,51.0,0.000769,130.5
52,-75.62482627,0.02336791,52.0,0.000775,133.0
53,-75.62466067,0.02154356,53.0,0.000847,135.53
54,-75.62552768,0.02191985,54.0,0.000777,138.02
55,-75.62547294,0.02061973,55.0,0.000771,140.53
56,-75.6256919,0.01977155,56.0,0.000758,143.03
57,-75.62535207,0.01738878,57.0,0.000735,145.55
58,-75.6255399,0.02042378,58.0,0.000765,148.11
59,-75.62607506,0.01692482,59.0,0.000765,150.63
60,-75.62637286,0.02022707,60.0,0.000876,153.13
61,-75.62581607,0.02076392,61.0,0.000776,155.63
62,-75.62482201,0.01683996,62.0,0.000771,158.14
63,-75.62628643,0.01610295,63.0,0.000739,160.66
64,-75.62582727,0.01785174,64.0,0.000761,163.16
65,-75.62671853,0.01899324,65.0,0.00081,165.68
66,-75.62613867,0.0210844,66.0,0.000797,168.18
67,-75.62575045,0.01766488,67.0,0.0008,170.68
68,-75.62638091,0.01756935,68.0,0.000751,173.18
69,-75.62637429,0.01538221,69.0,0.00077,175.71
70,-75.62601322,0.01903322,70.0,0.000741,178.27
71,-75.62607224,0.03188945,71.0,0.00105,180.79
72,-75.62639034,0.0181691,72.0,0.00072,183.29
73,-75.62615353,0.01863234,73.0,0.000761,185.8
74,-75.62657985,0.01621408,74.0,0.000735,188.3
75,-75.62624909,0.01645591,75.0,0.000741,190.81
76,-75.62645653,0.01593126,76.0,0.000806,193.31
77,-75.62694477,0.01640491,77.0,0.000772,195.83
78,-75.62703902,0.01687243,78.0,0.000722,198.33
79,-75.62584122,0.01823174,79.0,0.000756,200.83
80,-75.62696799,0.01717023,80.0,0.000729,203.34
81,-75.62662993,0.01572748,81.0,0.000829,205.86
82,-75.62685085,0.02512513,82.0,0.00079,208.37
83,-75.62614378,0.01508883,83.0,0.000746,210.88
84,-75.62597762,0.01548733,84.0,0.000727,213.38
85,-75.62707313,0.01581011,85.0,0.000725,215.9
86,-75.62684402,0.01615288,86.0,0.000709,218.4
87,-75.62689986,0.03034214,87.0,0.000757,220.92
88,-75.62685054,0.01694425,88.0,0.000794,223.43
89,-75.62630646,0.01457744,89.0,0.000746,225.93
90,-75.62649852,0.01699003,90.0,0.000789,228.43
91,-75.62646169,0.0172279,91.0,0.000725,230.93
92,-75.62657491,0.01717313,92.0,0.000754,233.43
93,-75.6263236,0.01564752,93.0,0.000774,235.95
94,-75.62614082,0.01394246,94.0,0.000749,238.46
95,-75.62660732,0.0137135,95.0,0.00074,240.98
96,-75.62616354,0.01854357,96.0,0.000815,243.48
97,-75.6264898,0.01540083,97.0,0.000751,245.99
98,-75.62667955,0.01549469,98.0,0.000775,248.49
99,-75.6269466,0.01279872,99.0,0.00074,250.99
100,-75.62618397,0.01510277,100.0,0.000748,254.67
101,-75.6264817,0.0146633,101.0,0.000877,257.17
102,-75.62647558,0.01452737,102.0,0.000761,259.68
103,-75.6271406,0.01496818,103.0,0.000735,262.19
104,-75.62692951,0.01297248,104.0,0.000726,264.69
105,-75.62715248,0.01305826,105.0,0.000805,267.26
106,-75.6267687,0.01207611,106.0,0.000756,269.76
107,-75.62697351,0.01534915,107.0,0.000797,272.29
108,-75.62730783,0.01320902,108.0,0.000761,274.79
109,-75.62744118,0.01427854,109.0,0.000844,277.31
110,-75.62756187,0.01450438,110.0,0.00073,279.82
111,-75.62689415,0.01427384,111.0,0.000728,282.32
112,-75.62716609,0.01341207,112.0,0.000729,284.82
113,-75.62721927,0.01404966,113.0,0.000737,287.35
114,-75.62706153,0.01393947,114.0,0.000794,289.85
115,-75.62656263,0.01508201,115.0,0.000768,292.37
116,-75.62664291,0.01342395,116.0,0.000712,294.87
117,-75.6266705,0.01393656,117.0,0.000726,297.41
118,-75.62702004,0.01392519,118.0,0.000749,299.91
119,-75.62717934,0.01408466,119.0,0.000802,302.44
120,-75.62736354,0.014284,120.0,0.000765,304.94
121,-75.62697329,0.01868998,121.0,0.000773,307.45
122,-75.62617308,0.01387819,122.0,0.000761,309.94
123,-75.62716847,0.01725714,123.0,0.000766,312.46
124,-75.62780833,0.02470715,124.0,0.000944,314.97
125,-75.62723497,0.01450999,125.0,0.000731,317.49
126,-75.6268941,0.01570302,126.0,0.000776,320.0
127,-75.62698385,0.02054275,127.0,0.000761,322.53
128,-75.62725281,0.01633975,128.0,0.000744,325.03
129,-75.62665723,0.01518982,129.0,0.000724,327.61
130,-75.62661115,0.01628553,130.0,0.000725,330.11
131,-75.62699862,0.01495423,131.0,0.000773,332.62
132,-75.62706931,0.01646804,132.0,0.000728,335.12
133,-75.62723165,0.01592106,133.0,0.000723,337.62
134,-75.62715944,0.0144603,134.0,0.000749,340.12
135,-75.62722456,0.01493948,135.0,0.00074,342.62
136,-75.62771528,0.01490204,136.0,0.000838,345.13
137,-75.62742816,0.01566729,137.0,0.000752,347.63
138,-75.62769621,0.01475299,138.0,0.000733,350.13
139,-75.62724768,0.01405999,139.0,0.000787,352.64
140,-75.62710609,0.01413078,140.0,0.000725,355.14
141,-75.62745744,0.02494177,141.0,0.000781,357.68
142,-75.62741625,0.01320868,142.0,0.000821,360.18
143,-75.62706563,0.0176986,143.0,0.000821,362.68
144,-75.6275718,0.01784858,144.0,0.000837,365.19
145,-75.62744169,0.01539945,145.0,0.000768,367.69
146,-75.62762822,0.01564874,146.0,0.0007,370.18
147,-75.62771073,0.01579154,147.0,0.000822,372.7
148,-75.62748436,0.01443627,148.0,0.000707,375.2
149,-75.62699518,0.01508353,149.0,0.000802,377.71
150,-75.62719471,0.01396107,150.0,0.000756,380.21
151,-75.62684234,0.01350933,151.0,0.000823,382.72
152,-75.62720062,0.01346084,152.0,0.00076,385.22
153,-75.62779461,0.01410049,153.0,0.000779,387.76
154,-75.62801436,0.01842916,154.0,0.000759,390.26
155,-75.62717785,0.01589334,155.0,0.000751,392.79
156,-75.6274626,0.01422257,156.0,0.000725,395.29
157,-75.62728827,0.01512606,157.0,0.000745,397.81
158,-75.62747121,0.0143587,158.0,0.000752,400.31
159,-75.62776366,0.0133683,159.0,0.00076,402.83
160,-75.62690899,0.0169208,160.0,0.000857,405.33
161,-75.62730256,0.01363667,161.0,0.000878,407.85
162,-75.62741702,0.01520316,162.0,0.000737,410.35
163,-75.62782239,0.0153481,163.0,0.000744,412.88
164,-75.6276412,0.0128073,164.0,0.000752,415.38
165,-75.62820586,0.01412519,165.0,0.00073,417.9
166,-75.62757055,0.01424266,166.0,0.00078,420.42
167,-75.62750513,0.0133256,167.0,0.000727,422.92
168,-75.62770375,0.01346238,168.0,0.000732,425.42
169,-75.6272004,0.01412936,169.0,0.000807,427.93
170,-75.62739747,0.01774247,170.0,0.00086,430.43
171,-75.62738896,0.03007556,171.0,0.000717,432.94
172,-75.62701524,0.0146839,172.0,0.000762,435.43
173,-75.62739589,0.01943496,173.0,0.00076,437.92
174,-75.62764355,0.01329549,174.0,0.000753,440.42
175,-75.62741461,0.01485868,175.0,0.000739,442.91
176,-75.62774794,0.01398816,176.0,0.000749,445.42
177,-75.62778495,0.01464839,177.0,0.000748,447.94
178,-75.62770811,0.01367457,178.0,0.000718,450.44
179,-75.6281523,0.0139322,179.0,0.000714,452.94
180,-75.62733293,0.0162581,180.0,0.000783,455.43
181,-75.62787487,0.01334171,181.0,0.000727,457.93
182,-75.62746135,0.01367861,182.0,0.00074,460.42
183,-75.62811809,0.01321735,183.0,0.000737,462.92
184,-75.62840566,0.01326819,184.0,0.000787,465.41
185,-75.62778331,0.01615571,185.0,0.000823,467.91
186,-75.62807114,0.01251439,186.0,0.00077,470.41
187,-75.62838494,0.02019048,187.0,0.000965,472.9
188,-75.62727755,0.01459255,188.0,0.000731,475.4
189,-75.62845808,0.01391575,189.0,0.000736,477.91
190,-75.62824008,0.01372116,190.0,0.000765,480.4
191,-75.62746832,0.01433106,191.0,0.000726,482.9
192,-75.62764392,0.01660242,192.0,0.00076,485.4
193,-75.62747214,0.01535493,193.0,0.000839,487.89
194,-75.62814919,0.01483986,194.0,0.000754,490.39
195,-75.62805841,0.01629798,195.0,0.000813,492.88
196,-75.6283612,0.01809773,196.0,0.000759,495.37
197,-75.62810118,0.01408788,197.0,0.000695,497.86
198,-75.62756147,0.01451634,198.0,0.000792,500.36
199,-75.62777635,0.01430033,199.0,0.000759,502.86
200,-75.62779781,0.01554135,200.0,0.000757,505.35
201,-75.62732986,0.01670055,201.0,0.000699,507.88
202,-75.6280398,0.0143281,202.0,0.00073,510.38
203,-75.62789107,0.01665647,203.0,0.000767,512.88
204,-75.62851857,0.01634686,204.0,0.00077,515.38
205,-75.62785783,0.01450964,205.0,0.000713,517.87
206,-75.62706071,0.01651117,206.0,0.000773,520.37
207,-75.62876652,0.01996202,207.0,0.000798,522.87
208,-75.6279731,0.01547805,208.0,0.000744,525.38
209,-75.62762935,0.01562079,209.0,0.000763,527.88
210,-75.62825021,0.01479546,210.0,0.000702,530.39
211,-75.62773192,0.01592403,211.0,0.000812,532.88
212,-75.62800424,0.01524796,212.0,0.000807,535.41
213,-75.62753646,0.01331934,213.0,0.000714,538.03
214,-75.62763994,0.01458518,214.0,0.000748,540.55
215,-75.62764936,0.01463733,215.0,0.000798,543.04
216,-75.62757109,0.01493621,216.0,0.000732,545.55
217,-75.62784837,0.0168943,217.0,0.000766,548.05
218,-75.62762024,0.01341708,218.0,0.000708,550.54
219,-75.62854945,0.03580418,219.0,0.00101,553.91
220,-75.62779204,0.0141443,220.0,0.000742,556.42
221,-75.62806983,0.01551944,221.0,0.000819,558.92
222,-75.62737081,0.01531547,222.0,0.000773,561.43
223,-75.62839685,0.01600001,223.0,0.000828,563.94
224,-75.62775877,0.04376066,224.0,0.000748,566.51
225,-75.62714877,0.01987997,225.0,0.000741,569.02
226,-75.62708036,0.02471814,226.0,0.0008,571.52
227,-75.62829835,0.02204942,227.0,0.000754,574.02
228,-75.62781469,0.02019112,228.0,0.000845,576.52
229,-75.6276046,0.02338728,229.0,0.000848,579.02
230,-75.62753432,0.01897977,230.0,0.000762,581.52
231,-75.62786777,0.01930307,231.0,0.000739,584.02
232,-75.62777258,0.01883116,232.0,0.000805,586.51
233,-75.62791005,0.01675411,233.0,0.000734,589.01
234,-75.62784744,0.01853584,234.0,0.000863,591.51
235,-75.62806231,0.01788028,235.0,0.000753,594.03
236,-75.6275012,0.01740846,236.0,0.000734,596.56
237,-75.62705856,0.0170042,237.0,0.00073,599.08
238,-75.62777251,0.015902,238.0,0.000752,601.59
239,-75.62809109,0.01349708,239.0,0.000753,604.08
240,-75.62857793,0.01728271,240.0,0.000764,606.59
241,-75.62755822,0.01940419,241.0,0.000892,609.1
242,-75.62857758,0.01482304,242.0,0.000735,611.6
243,-75.6276584,0.01518222,243.0,0.000744,614.1
244,-75.62799209,0.01621708,244.0,0.000797,616.6
245,-75.62846615,0.01522885,245.0,0.000786,619.1
246,-75.62839607,0.01624088,246.0,0.000739,621.59
247,-75.62839316,0.01679631,247.0,0.000761,624.09
248,-75.62772492,0.01549124,248.0,0.000719,626.63
249,-75.62842049,0.01539035,249.0,0.000736,629.12
250,-75.62846004,0.01612876,250.0,0.000736,631.63
251,-75.62821242,0.0169453,251.0,0.00099,634.14
252,-75.62818553,0.01517447,252.0,0.000725,636.63
253,-75.62813118,0.01581491,253.0,0.000799,639.13
254,-75.62794447,0.01476238,254.0,0.00076,641.62
255,-75.62869671,0.01474635,255.0,0.000738,644.11
256,-75.62800764,0.01414101,256.0,0.000735,646.6
257,-75.6277865,0.01543663,257.0,0.000812,649.09
258,-75.62816816,0.0157096,258.0,0.000829,651.59
259,-75.62808285,0.01607734,259.0,0.000756,654.09
260,-75.62781746,0.01383894,260.0,0.000775,656.63
261,-75.62833294,0.01640129,261.0,0.000737,659.13
262,-75.62758966,0.01594864,262.0,0.000742,661.63
263,-75.62816056,0.01392273,263.0,0.000736,664.13
264,-75.62776119,0.01491475,264.0,0.00079,666.63
265,-75.6281529,0.01301668,265.0,0.000742,669.12
266,-75.62775196,0.01401765,266.0,0.000759,671.61
267,-75.62816896,0.01482287,267.0,0.000745,674.11
268,-75.62817408,0.01409659,268.0,0.000739,676.62
269,-75.62785137,0.01341668,269.0,0.000779,679.11
