,Energy,Gradient,Iteration,Noise,Time
0,-75.47034421,0.17563349,0.0,0.00223,61.38
1,-75.57739414,0.0749535,1.0,0.00128,137.16
2,-75.60703729,0.0736585,2.0,0.00095,300.91
3,-75.61678293,0.08302218,3.0,0.000901,439.3
4,-75.62141898,0.06656293,4.0,0.000829,579.96
5,-75.62325242,0.06038161,5.0,0.000836,677.58
6,-75.62531723,0.051017,6.0,0.000765,816.62
7,-75.62628194,0.04360355,7.0,0.000697,944.63
8,-75.62703936,0.04027735,8.0,0.000725,1067.35
9,-75.62839259,0.07045055,9.0,0.000747,1214.12
10,-75.6282409,0.04448196,10.0,0.000708,1289.58
11,-75.62890892,0.03881913,11.0,0.000947,1384.61
12,-75.62803267,0.06436424,12.0,0.000754,1492.48
13,-75.62882175,0.04686044,13.0,0.000708,1576.02
14,-75.62849415,0.04725499,14.0,0.000732,1662.23
15,-75.62819609,0.03563949,15.0,0.000713,1802.59
16,-75.62810834,0.04028131,16.0,0.000713,1869.74
17,-75.62844512,0.04224744,17.0,0.000743,1961.87
18,-75.62912885,0.04585545,18.0,0.000725,2075.0
19,-75.62917284,0.04335272,19.0,0.000702,2139.22
20,-75.62929106,0.10429003,20.0,0.000727,2285.26
21,-75.62949337,0.0360655,21.0,0.000704,2352.39
22,-75.62875545,0.14239619,22.0,0.00124,2466.5
23,-75.62875494,0.05843225,23.0,0.00071,2544.88
24,-75.62941437,0.03392979,24.0,0.000697,2647.6
25,-75.62904283,0.03864635,25.0,0.000721,2786.68
26,-75.62927386,0.03836115,26.0,0.000688,2922.57
27,-75.62893768,0.03632068,27.0,0.0007,3050.79
28,-75.62881739,0.03661107,28.0,0.0007,3189.98
29,-75.62929066,0.04567284,29.0,0.00072,3275.9
30,-75.62937394,0.05309076,30.0,0.000707,3345.67
31,-75.62965105,0.07358706,31.0,0.00108,3486.53
32,-75.62933513,0.05138149,32.0,0.000801,3585.9
33,-75.62946014,0.05299578,33.0,0.000708,3684.68
34,-75.62924149,0.0480748,34.0,0.000707,3751.49
35,-75.62937382,0.04289046,35.0,0.000685,3864.53
36,-75.6290237,0.04083855,36.0,0.000807,3953.48
37,-75.62914105,0.06224077,37.0,0.000751,4094.36
38,-75.62939647,0.04535539,38.0,0.000713,4188.6
39,-75.62854143,0.04561583,39.0,0.000794,4283.18
40,-75.62920156,0.05624054,40.0,0.000824,4358.12
41,-75.62940733,0.05335179,41.0,0.000716,4468.55
42,-75.62943067,0.06232552,42.0,0.000871,4579.35
43,-75.62936077,0.05754955,43.0,0.000683,4663.07
44,-75.6292075,0.04838057,44.0,0.000692,4754.7
45,-75.62923001,0.05499422,45.0,0.000755,4836.04
46,-75.62919229,0.03830026,46.0,0.000717,4932.71
47,-75.63011383,0.05507111,47.0,0.000773,5072.73
48,-75.62963368,0.04182353,48.0,0.000755,5164.47
49,-75.62994036,0.04080245,49.0,0.000706,5264.51
