,Energy,Gradient,Iteration,Noise,Time
0,-75.47034421,0.17563349,0.0,0.00223,1452.73
1,-75.57479004,0.10121891,1.0,0.00109,2277.77
2,-75.59147296,0.19727017,2.0,0.0013,3731.35
3,-75.60120177,0.12901134,3.0,0.0012,5184.63
4,-75.60782603,0.08268246,4.0,0.000991,6643.48
5,-75.60909422,0.13787699,5.0,0.00103,8100.3
6,-75.61717575,0.06674701,6.0,0.000872,9558.42
7,-75.62039676,0.04889512,7.0,0.000852,11017.28
8,-75.62301976,0.03749567,8.0,0.000863,12475.35
9,-75.62499423,0.02593992,9.0,0.000807,13934.09
10,-75.626453,0.02586546,10.0,0.000783,15392.51
11,-75.6277462,0.01994343,11.0,0.000779,16850.85
12,-75.62789626,0.02040554,12.0,0.000721,18308.33
13,-75.62800389,0.02015894,13.0,0.000745,19767.36
14,-75.62898215,0.02197911,14.0,0.000734,21226.68
15,-75.62791619,0.01853518,15.0,0.000713,22686.48
16,-75.62809416,0.01918623,16.0,0.000704,24148.0
17,-75.62855721,0.02408896,17.0,0.000733,25606.54
18,-75.62836914,0.02820507,18.0,0.000773,27065.81
19,-75.62915538,0.02218686,19.0,0.000736,28527.12
20,-75.6290551,0.03185735,20.0,0.000778,29987.27
21,-75.62839196,0.02753528,21.0,0.000698,31449.2
22,-75.62942008,0.05466255,22.0,0.000892,32908.14
23,-75.62991741,0.05213646,23.0,0.00159,34371.87
24,-75.62941951,0.03487772,24.0,0.000697,35833.3
25,-75.62923944,0.04538979,25.0,0.00072,37295.29
26,-75.62894356,0.03373956,26.0,0.000744,38756.8
27,-75.62924515,0.03627116,27.0,0.000717,40217.14
28,-75.62892431,0.03389208,28.0,0.000795,41677.52
29,-75.62983839,0.05407248,29.0,0.000688,43137.77
30,-75.62950935,0.03358225,30.0,0.000718,44600.5
31,-75.62888952,0.03718302,31.0,0.000731,46059.77
32,-75.62902696,0.08345729,32.0,0.000769,47523.38
33,-75.62941504,0.05984259,33.0,0.00137,48983.74
34,-75.6297681,0.05081195,34.0,0.000749,50446.12
35,-75.62952415,0.04279305,35.0,0.000807,51907.19
36,-75.62986942,0.03573104,36.0,0.00069,53370.7
37,-75.62949412,0.03128143,37.0,0.000684,54833.45
38,-75.6299114,0.04283855,38.0,0.000818,56294.97
39,-75.62945865,0.03606369,39.0,0.00071,57757.66
40,-75.62972348,0.13252532,40.0,0.000718,59218.49
41,-75.63028342,0.06359056,41.0,0.000695,60680.01
42,-75.62976765,0.06614279,42.0,0.000773,62142.04
43,-75.62908009,0.056185,43.0,0.000724,63603.28
44,-75.6299737,0.03209091,44.0,0.000741,65065.0
45,-75.62971872,0.04552494,45.0,0.000776,66527.44
46,-75.62968561,0.15084891,46.0,0.00103,67990.4
47,-75.62987996,0.06197659,47.0,0.000721,69452.88
48,-75.62920284,0.04537288,48.0,0.000743,70914.2
49,-75.62982279,0.03624656,49.0,0.000709,72375.57
