,Energy,Gradient,Iteration,Noise,Time
0,-126.69904743,18.6285512,0.0,0.00274,571.46
1,-128.51859576,3.18840624,1.0,0.00222,1194.58
2,-128.81545362,0.92508972,2.0,0.0011,1734.59
3,-128.87368102,0.1133384,3.0,0.00101,2407.35
4,-128.88653479,0.0308426,4.0,0.00088,2966.25
5,-128.89036868,0.02049791,5.0,0.000791,3535.96
6,-128.8941613,0.03862406,6.0,0.0009,4341.31
7,-128.89658444,0.11033321,7.0,0.00108,4991.27
8,-128.89726332,0.05658188,8.0,0.000882,5673.69
9,-128.89869142,0.05834935,9.0,0.00086,6449.77
10,-128.90044377,0.03137285,10.0,0.000753,7124.16
11,-128.90193668,0.04097455,11.0,0.000763,7827.89
12,-128.90404786,0.05974514,12.0,0.000818,8636.97
13,-128.90383638,0.06946416,13.0,0.000686,9422.99
14,-128.90565935,0.0314299,14.0,0.000791,10417.74
15,-128.90539969,0.02559263,15.0,0.000885,10975.74
16,-128.90653063,0.03789964,16.0,0.000674,11709.5
17,-128.9063009,0.07157889,17.0,0.000706,12516.28
18,-128.90623687,0.03996202,18.0,0.000758,13137.45
19,-128.90599484,0.04891369,19.0,0.0008,13790.4
20,-128.90725457,0.0213743,20.0,0.000891,14349.98
21,-128.90746095,0.0239076,21.0,0.000719,15105.98
22,-128.90579499,0.02403173,22.0,0.000631,15664.31
23,-128.90506179,0.0752463,23.0,0.000663,16232.08
24,-128.90666196,0.0313992,24.0,0.00129,17011.6
25,-128.9069918,0.02677194,25.0,0.00207,17559.88
26,-128.90726045,0.02950946,26.0,0.000728,18325.55
27,-128.90661223,0.03338673,27.0,0.000743,18824.95
28,-128.90701994,0.04048492,28.0,0.000709,19415.91
29,-128.90593379,0.02143312,29.0,0.000686,20109.7
30,-128.90574894,0.02795247,30.0,0.000721,20701.45
31,-128.90678663,0.029987,31.0,0.000623,21220.31
32,-128.90680435,0.02125195,32.0,0.00066,21924.85
33,-128.90586286,0.02786237,33.0,0.000857,22626.53
34,-128.90656336,0.02421291,34.0,0.000821,23135.86
35,-128.90624954,0.02083839,35.0,0.000664,23665.77
36,-128.90610953,0.01487621,36.0,0.00091,24491.25
37,-128.90765863,0.01844559,37.0,0.000766,25164.5
38,-128.90662814,0.0174934,38.0,0.000709,25662.56
39,-128.90609179,0.02284148,39.0,0.000677,26211.6
40,-128.90604298,0.01834986,40.0,0.000674,26719.88
41,-128.90586223,0.02238112,41.0,0.000714,27270.41
42,-128.90678723,0.01909181,42.0,0.000685,27840.72
43,-128.90717309,0.0444488,43.0,0.000635,28348.91
44,-128.90656097,0.02810144,44.0,0.000744,29188.86
45,-128.90809474,0.10698865,45.0,0.000688,29879.23
46,-128.90704788,0.02090374,46.0,0.000669,30397.95
47,-128.90762381,0.02460147,47.0,0.000661,30935.95
48,-128.90571884,0.01553141,48.0,0.0007,31435.44
49,-128.90709291,0.02332335,49.0,0.000824,32110.49
