,Energy,Gradient,Iteration,Noise,Time
0,-126.69889987,18.61730243,0.0,0.00274,2422.18
1,-128.62933749,0.41096048,1.0,0.00267,4831.75
2,-128.7671189,0.32948519,2.0,0.00173,7246.16
3,-128.7919318,0.52165926,3.0,0.00153,9656.83
4,-128.80936423,0.62519838,4.0,0.0017,12063.53
5,-128.83415717,0.30169448,5.0,0.00134,14474.51
6,-128.84737688,0.27554431,6.0,0.00147,16877.51
7,-128.8569144,0.31338617,7.0,0.00125,19286.86
8,-128.86188226,0.21374103,8.0,0.00114,21692.31
9,-128.86940799,0.15581514,9.0,0.0011,24101.28
10,-128.87616362,0.36884445,10.0,0.00113,26505.97
11,-128.88325987,0.09199006,11.0,0.00095,28910.96
12,-128.88763143,0.19255018,12.0,0.00103,31316.28
13,-128.89284428,0.06731076,13.0,0.000965,33725.85
14,-128.89896288,0.11210547,14.0,0.000897,36132.62
15,-128.90014261,0.155023,15.0,0.000836,38542.76
16,-128.90267077,0.03789193,16.0,0.000739,40949.11
17,-128.90377433,0.04590936,17.0,0.000887,43360.28
18,-128.90739713,0.05215328,18.0,0.000727,45769.53
19,-128.90775921,0.03109121,19.0,0.000757,48181.4
20,-128.90712654,0.03034176,20.0,0.000829,50590.16
21,-128.90646108,0.02568035,21.0,0.000767,53000.6
22,-128.90725614,0.01469271,22.0,0.000978,55405.21
23,-128.90783844,0.01475553,23.0,0.000652,57815.39
24,-128.90753685,0.01986846,24.0,0.000765,60226.83
25,-128.90970912,0.0222894,25.0,0.000872,62636.85
26,-128.9091038,0.03370135,26.0,0.000663,65047.66
27,-128.90848734,0.02507138,27.0,0.000737,67458.13
28,-128.90969148,0.03162349,28.0,0.000661,69863.73
29,-128.90989258,0.01854959,29.0,0.000669,72272.65
30,-128.90999623,0.02396477,30.0,0.000704,74680.44
31,-128.90873558,0.03109091,31.0,0.000577,77090.53
32,-128.90741546,0.01968448,32.0,0.000593,79501.06
33,-128.9073498,0.0209391,33.0,0.000816,81909.23
34,-128.90897823,0.01777602,34.0,0.000671,84314.49
35,-128.90792377,0.02219564,35.0,0.000666,86723.78
36,-128.90900713,0.01587989,36.0,0.0007,89129.14
37,-128.90805584,0.01987665,37.0,0.000693,91534.32
38,-128.90942915,0.03276982,38.0,0.000641,93944.54
39,-128.90745053,0.01872984,39.0,0.000599,96349.61
40,-128.90900539,0.12216182,40.0,0.000634,98759.4
41,-128.90784423,0.09032633,41.0,0.000609,101167.17
42,-128.90848265,0.03341518,42.0,0.000713,103578.93
43,-128.90864557,0.06805156,43.0,0.000691,105983.11
44,-128.90865226,0.02881602,44.0,0.000621,108393.01
45,-128.90856265,0.03397735,45.0,0.000678,110801.24
46,-128.90846926,0.01368394,46.0,0.000658,113210.09
47,-128.90767826,0.01377215,47.0,0.000806,115618.38
48,-128.90811721,0.03823788,48.0,0.000694,118027.6
49,-128.90783059,0.01487003,49.0,0.000591,120432.58
