,Energy,Gradient,Iteration,Noise,Time
0,-126.69904743,18.6285512,0.0,0.00274,591.09
1,-128.51527065,3.15694745,1.0,0.00242,1605.78
2,-128.79760737,1.22629378,2.0,0.00231,2366.75
3,-128.89652787,0.07618215,3.0,0.000842,3179.95
4,-128.90150964,0.07318922,4.0,0.000793,3955.34
5,-128.90411044,0.05132339,5.0,0.000968,4648.9
6,-128.90473241,0.04372427,6.0,0.00228,5456.35
7,-128.9049056,0.02278785,7.0,0.000639,6312.69
8,-128.90534572,0.0571858,8.0,0.000802,7095.8
9,-128.90656462,0.03477277,9.0,0.000744,7829.72
10,-128.90642146,0.03500292,10.0,0.000768,8650.45
11,-128.9059825,0.03457508,11.0,0.00066,9497.96
12,-128.90724497,0.03930259,12.0,0.000716,10081.6
13,-128.90637684,0.03008831,13.0,0.000661,10884.93
14,-128.90747869,0.03577512,14.0,0.000786,11628.59
15,-128.90676587,0.02759236,15.0,0.000814,12526.61
16,-128.9084032,0.02244229,16.0,0.000685,13402.67
17,-128.9064683,0.03325366,17.0,0.000695,14210.42
18,-128.90729857,0.02122173,18.0,0.000772,14973.78
19,-128.90629936,0.02297624,19.0,0.0007,15808.41
20,-128.90583369,0.01738117,20.0,0.000891,16615.09
21,-128.90669781,0.01932036,21.0,0.000836,17418.48
22,-128.9061718,0.01874947,22.0,0.000669,18041.29
23,-128.90705922,0.01505755,23.0,0.000626,18734.69
24,-128.90814805,0.02704271,24.0,0.00122,19560.69
25,-128.9075393,0.01454792,25.0,0.000667,20416.27
26,-128.90650135,0.01627437,26.0,0.000639,21178.94
27,-128.90643656,0.02228451,27.0,0.000835,21833.85
28,-128.90720338,0.02299338,28.0,0.000693,22567.54
29,-128.90723562,0.01543272,29.0,0.00069,23169.51
30,-128.90658351,0.01719669,30.0,0.000848,24021.14
31,-128.90829353,0.01812086,31.0,0.000671,24825.81
32,-128.90743236,0.02191685,32.0,0.000735,25692.9
33,-128.90715728,0.02561026,33.0,0.000726,26417.45
34,-128.90599327,0.0133354,34.0,0.000802,27199.92
35,-128.9073019,0.0287377,35.0,0.00116,27871.58
36,-128.90493741,0.30344593,36.0,0.000672,28483.08
37,-128.90530813,0.02414686,37.0,0.000769,29296.07
38,-128.90656876,0.01418653,38.0,0.000666,30040.85
39,-128.90751874,0.03602012,39.0,0.000842,30817.72
40,-128.9084787,0.02115631,40.0,0.000854,31581.06
41,-128.90624278,0.04145598,41.0,0.000831,32326.09
42,-128.90623552,0.01499284,42.0,0.000736,32869.9
43,-128.90652651,0.03884859,43.0,0.000662,33442.94
44,-128.9079989,0.02830961,44.0,0.000743,34247.98
45,-128.90695293,0.03413168,45.0,0.000929,34810.67
46,-128.90652827,0.10908614,46.0,0.000709,35645.36
47,-128.90759022,0.0294748,47.0,0.000646,36350.02
48,-128.9069014,0.19263254,48.0,0.00152,36902.99
49,-128.90738994,0.02285928,49.0,0.000654,37727.59
