,Energy,Gradient,Iteration,Noise,Time
0,-10.44790563,0.75629784,0.0,0.00545,92.59
1,-10.46817933,0.2351583,1.0,0.00523,108.99
2,-10.61575701,0.13748317,2.0,0.0027,121.27
3,-10.66447729,0.09519749,3.0,0.0021,138.06
4,-10.69388555,0.07159702,4.0,0.00202,151.62
5,-10.70928627,0.07617193,5.0,0.00163,164.39
6,-10.71989852,0.08147403,6.0,0.00158,176.15
7,-10.72610777,0.05093441,7.0,0.00141,187.93
8,-10.73565838,0.09461741,8.0,0.00172,201.26
9,-10.75095671,0.05844156,9.0,0.00108,211.86
10,-10.75803528,0.05423151,10.0,0.000801,226.03
11,-10.75878539,0.0614046,11.0,0.000932,246.56
12,-10.76119555,0.04875995,12.0,0.000943,263.94
13,-10.76258512,0.04862578,13.0,0.000782,280.52
14,-10.76356796,0.03817884,14.0,0.000654,297.46
15,-10.7644402,0.03283368,15.0,0.000732,321.21
16,-10.76617414,0.02662223,16.0,0.000523,338.9
17,-10.76633112,0.03508122,17.0,0.000544,376.35
18,-10.76656253,0.03027242,18.0,0.000543,406.06
19,-10.76708231,0.03108012,19.0,0.000545,440.52
20,-10.76719968,0.02279246,20.0,0.000522,463.52
21,-10.76775585,0.02400355,21.0,0.000481,494.97
22,-10.76765802,0.01820541,22.0,0.000461,536.95
23,-10.7680711,0.0153804,23.0,0.000449,569.95
24,-10.76748493,0.02857413,24.0,0.000515,603.93
25,-10.76810439,0.02110977,25.0,0.000449,631.91
26,-10.76677433,0.02054569,26.0,0.000508,673.77
27,-10.76774185,0.02216897,27.0,0.000464,710.13
28,-10.76770644,0.02118239,28.0,0.00046,747.49
29,-10.76753151,0.14239932,29.0,0.000679,778.08
30,-10.76759862,0.05403795,30.0,0.00055,794.39
31,-10.76788588,0.02144639,31.0,0.000485,815.91
32,-10.7685316,0.01671524,32.0,0.000443,848.52
33,-10.76777237,0.02178702,33.0,0.000472,878.2
34,-10.76740559,0.0208045,34.0,0.000456,904.96
35,-10.76864349,0.01905976,35.0,0.000448,933.84
36,-10.76754589,0.02515292,36.0,0.000465,965.64
37,-10.76821358,0.03935204,37.0,0.00045,990.06
38,-10.76796543,0.02749192,38.0,0.000446,1018.16
39,-10.76790284,0.05192681,39.0,0.000488,1046.91
40,-10.76846077,0.04912223,40.0,0.00047,1072.99
41,-10.76830622,0.01648248,41.0,0.000443,1100.5
42,-10.76766096,0.03591044,42.0,0.000457,1129.56
43,-10.76812843,0.01414812,43.0,0.000431,1154.67
44,-10.76847161,0.02671311,44.0,0.0005,1185.75
45,-10.76805029,0.01722288,45.0,0.000437,1217.3
46,-10.76703421,0.07833073,46.0,0.000521,1243.28
47,-10.76824236,0.01841857,47.0,0.00044,1277.19
48,-10.76816814,0.02201782,48.0,0.000443,1305.39
49,-10.7676398,0.02115723,49.0,0.000458,1331.22
50,-10.76844388,0.01982134,50.0,0.00045,1357.28
51,-10.76841378,0.02104828,51.0,0.000448,1392.08
52,-10.76845368,0.02756984,52.0,0.000443,1420.94
53,-10.76801776,0.02602447,53.0,0.000601,1452.0
54,-10.76680378,0.03846717,54.0,0.000845,1478.43
55,-10.76765137,0.02787495,55.0,0.000445,1492.94
56,-10.76766948,0.03379912,56.0,0.000523,1521.69
57,-10.7679947,0.01784818,57.0,0.000438,1541.09
58,-10.76698125,0.0312013,58.0,0.000577,1577.14
59,-10.76728395,0.11480609,59.0,0.000576,1598.19
60,-10.76753935,0.03321688,60.0,0.000473,1619.08
61,-10.76832368,0.03709111,61.0,0.000472,1659.49
62,-10.76861904,0.01827535,62.0,0.000446,1687.44
63,-10.76831459,0.01583219,63.0,0.00044,1713.35
64,-10.76865312,0.01455907,64.0,0.000433,1745.25
65,-10.76787475,0.04194371,65.0,0.000434,1772.51
66,-10.76769674,0.02933331,66.0,0.000442,1805.11
67,-10.76773304,0.017495,67.0,0.000452,1833.18
68,-10.7679259,0.05356699,68.0,0.000474,1865.0
69,-10.76858256,0.02257592,69.0,0.000434,1891.57
70,-10.76835118,0.05170097,70.0,0.000456,1924.18
