,Energy,Gradient,Iteration,Noise,Time
0,-10.44790563,0.75629784,0.0,0.00545,1.43
1,-10.46156739,0.29047742,1.0,0.00551,13.17
2,-10.60907259,0.13541618,2.0,0.00264,23.93
3,-10.64916365,0.13948993,3.0,0.00259,40.86
4,-10.69726892,0.07485802,4.0,0.00222,57.5
5,-10.71952789,0.11366141,5.0,0.00163,69.04
6,-10.73465004,0.12189342,6.0,0.00162,84.85
7,-10.74896183,0.0949025,7.0,0.00118,98.72
8,-10.75809501,0.0740526,8.0,0.00106,114.08
9,-10.76315331,0.04179317,9.0,0.000772,133.42
10,-10.76592438,0.03369194,10.0,0.000571,154.65
11,-10.76765803,0.02953515,11.0,0.000503,191.85
12,-10.76707146,0.04708754,12.0,0.000646,226.97
13,-10.76729589,0.0506737,13.0,0.000502,246.73
14,-10.76803146,0.03906556,14.0,0.000464,287.62
15,-10.76719106,0.03021509,15.0,0.000641,316.14
16,-10.76680663,0.05578389,16.0,0.000763,333.18
17,-10.76790599,0.03066046,17.0,0.000569,346.17
18,-10.7677859,0.02512203,18.0,0.000447,364.09
19,-10.76845241,0.03482835,19.0,0.000449,395.53
20,-10.76810919,0.02420427,20.0,0.000517,427.64
21,-10.76741705,0.03056881,21.0,0.000497,448.6
22,-10.76727165,0.02064245,22.0,0.000463,486.42
23,-10.76796315,0.02759216,23.0,0.000451,513.61
24,-10.76784489,0.0244729,24.0,0.000466,538.72
25,-10.76790796,0.01620764,25.0,0.000489,565.33
26,-10.76818083,0.01603156,26.0,0.000428,585.74
27,-10.76815221,0.1312711,27.0,0.000427,610.83
28,-10.76928479,0.01911256,28.0,0.000456,646.11
29,-10.76851288,0.02331069,29.0,0.000432,673.27
30,-10.76771742,0.01752753,30.0,0.000426,712.08
31,-10.76823707,0.01612278,31.0,0.000428,736.44
32,-10.76789753,0.01624385,32.0,0.000443,773.11
33,-10.76910419,0.02085147,33.0,0.000427,800.35
34,-10.76721153,0.0457017,34.0,0.000543,834.26
35,-10.76818141,0.02102558,35.0,0.000446,852.64
36,-10.76830268,0.01987038,36.0,0.000454,879.94
37,-10.76834048,0.01905816,37.0,0.000443,909.89
38,-10.76846421,0.01627891,38.0,0.000434,937.92
39,-10.7676629,0.03203549,39.0,0.000603,972.06
40,-10.76757242,0.02190079,40.0,0.000585,999.67
41,-10.76831766,0.01825356,41.0,0.000441,1019.02
42,-10.76846335,0.0200943,42.0,0.000437,1049.22
43,-10.76815463,0.02209981,43.0,0.000437,1074.57
44,-10.76738317,0.03189119,44.0,0.000717,1115.02
45,-10.76797805,0.02631852,45.0,0.000535,1127.54
46,-10.76840819,0.01712677,46.0,0.000438,1151.05
47,-10.76788671,0.03332901,47.0,0.000447,1177.58
48,-10.76728869,0.02888164,48.0,0.000615,1214.63
49,-10.76806079,0.03741294,49.0,0.000434,1233.03
50,-10.76877903,0.02995702,50.0,0.000434,1265.21
51,-10.76810818,0.01535714,51.0,0.000443,1290.92
52,-10.76820063,0.01636745,52.0,0.000442,1321.16
53,-10.76815206,0.01795959,53.0,0.000442,1353.49
54,-10.76853417,0.03947731,54.0,0.000433,1384.2
55,-10.76806184,0.01600827,55.0,0.000433,1411.76
56,-10.76835645,0.01751224,56.0,0.000445,1441.25
57,-10.76858059,0.02645351,57.0,0.000425,1467.23
58,-10.76767872,0.01534239,58.0,0.000439,1491.75
59,-10.76717371,0.01893544,59.0,0.000507,1528.22
60,-10.76783724,0.02007063,60.0,0.000434,1550.95
61,-10.76838338,0.01396752,61.0,0.000428,1580.93
62,-10.76849622,0.02512842,62.0,0.000454,1605.48
63,-10.76839288,0.01291473,63.0,0.000421,1631.25
64,-10.76831257,0.01619545,64.0,0.000445,1663.66
65,-10.76799397,0.01880027,65.0,0.000426,1696.62
66,-10.76871956,0.01246725,66.0,0.000411,1727.57
67,-10.76842991,0.02004509,67.0,0.000422,1756.81
68,-10.76834373,0.09693552,68.0,0.000466,1787.01
69,-10.76846077,0.01397265,69.0,0.000429,1817.71
70,-10.76841039,0.01180303,70.0,0.000438,1846.41
