,Energy,Gradient,Iteration,Noise,Time
0,-10.44790563,0.75629784,0.0,0.00545,1.82
1,-10.50177505,0.19285659,1.0,0.00489,3.64
2,-10.54903854,0.16957967,2.0,0.00413,5.45
3,-10.57812678,0.15057685,3.0,0.00356,7.28
4,-10.60350566,0.1590241,4.0,0.00323,9.09
5,-10.610059,0.11633114,5.0,0.00311,11.02
6,-10.62386435,0.10820714,6.0,0.00251,12.84
7,-10.636993,0.09881112,7.0,0.00218,14.66
8,-10.64302029,0.08884728,8.0,0.0021,16.47
9,-10.65040126,0.08117943,9.0,0.00195,18.3
10,-10.65709821,0.08566636,10.0,0.00186,20.11
11,-10.6597185,0.07052827,11.0,0.00166,21.92
12,-10.66290972,0.07160921,12.0,0.00154,23.75
13,-10.6670925,0.07377467,13.0,0.00152,25.56
14,-10.67039304,0.06143925,14.0,0.0015,27.37
15,-10.67211244,0.12265439,15.0,0.00157,29.18
16,-10.67102707,0.06560701,16.0,0.00169,31.0
17,-10.67631297,0.05693858,17.0,0.00134,32.81
18,-10.67795124,0.06073242,18.0,0.00126,34.62
19,-10.67887639,0.0568541,19.0,0.00126,36.43
20,-10.67870304,0.05935936,20.0,0.00111,38.24
21,-10.6806573,0.05917637,21.0,0.00131,40.16
22,-10.68345215,0.05174979,22.0,0.0011,42.0
23,-10.6829173,0.04940047,23.0,0.0011,43.82
24,-10.68523166,0.04742737,24.0,0.00105,45.63
25,-10.68478045,0.05002105,25.0,0.0011,47.43
26,-10.6847713,0.06873914,26.0,0.000961,49.25
27,-10.68628118,0.04941122,27.0,0.000976,51.06
28,-10.68807111,0.0532774,28.0,0.00102,52.88
29,-10.6881363,0.05221875,29.0,0.0011,54.71
30,-10.68877559,0.05141943,30.0,0.00116,56.56
31,-10.6906097,0.0594902,31.0,0.001,58.37
32,-10.69269985,0.04788518,32.0,0.000896,60.19
33,-10.68897831,0.05153278,33.0,0.00096,62.02
34,-10.69308388,0.04456704,34.0,0.000963,63.83
35,-10.69042145,0.04003973,35.0,0.00095,65.64
