,Energy,Gradient,Iteration,Noise,Time
0,-10.44790563,0.75629784,0.0,0.00545,1.48
1,-10.46156739,0.29047742,1.0,0.00551,11.85
2,-10.61310953,0.15571776,2.0,0.00261,20.16
3,-10.65505084,0.08246702,3.0,0.00167,38.07
4,-10.65828361,0.08488163,4.0,0.0017,52.16
5,-10.67554103,0.10626476,5.0,0.00184,66.91
6,-10.68499919,0.08824256,6.0,0.00176,81.82
7,-10.7027623,0.17342444,7.0,0.00274,95.1
8,-10.74160432,0.09982108,8.0,0.00131,103.83
9,-10.74901954,0.07622186,9.0,0.00111,119.26
10,-10.75912419,0.0868601,10.0,0.00103,133.43
11,-10.76490884,0.05928526,11.0,0.000633,147.97
12,-10.765248,0.07302528,12.0,0.000881,165.59
13,-10.76600391,0.13236026,13.0,0.000639,177.93
14,-10.76729655,0.03854695,14.0,0.000549,196.74
15,-10.76578639,0.04847764,15.0,0.000552,230.9
16,-10.76706176,0.05028603,16.0,0.000532,255.45
17,-10.76699035,0.07430346,17.0,0.000551,282.3
18,-10.76700476,0.0332686,18.0,0.000523,299.43
19,-10.76742238,0.05775558,19.0,0.000508,325.14
20,-10.76787348,0.02019526,20.0,0.000448,350.17
21,-10.76787364,0.03731563,21.0,0.000489,373.29
22,-10.76871398,0.01776527,22.0,0.00045,397.28
23,-10.7682809,0.01727326,23.0,0.000444,425.02
24,-10.76714508,0.03355375,24.0,0.000456,451.05
25,-10.7689635,0.01426042,25.0,0.000445,475.84
26,-10.76849096,0.01749739,26.0,0.00045,499.68
27,-10.76810266,0.01745415,27.0,0.000448,526.25
28,-10.76790767,0.13133075,28.0,0.000463,550.41
29,-10.76763018,0.01902938,29.0,0.00046,573.19
30,-10.76787314,0.05293486,30.0,0.000449,599.68
31,-10.76810254,0.05606669,31.0,0.00048,624.9
32,-10.76840829,0.06156912,32.0,0.000473,652.01
33,-10.76797874,0.01786294,33.0,0.00046,677.8
34,-10.76829748,0.1243386,34.0,0.000513,701.11
35,-10.7681919,0.02272395,35.0,0.000455,725.52
36,-10.76718049,0.03351613,36.0,0.000504,750.71
37,-10.76770357,0.03828311,37.0,0.000491,774.32
38,-10.76792034,0.02473098,38.0,0.000454,802.21
39,-10.7670056,0.03196013,39.0,0.000524,829.67
40,-10.7674173,0.03256879,40.0,0.000477,855.33
41,-10.76751569,0.06066261,41.0,0.000539,880.07
42,-10.76817456,0.03448763,42.0,0.000475,896.99
43,-10.76860802,0.02907956,43.0,0.000468,921.44
44,-10.7677336,0.05429319,44.0,0.000484,945.76
45,-10.76820324,0.01490346,45.0,0.000427,968.97
46,-10.76749075,0.06128182,46.0,0.000624,993.35
47,-10.76884239,0.02246831,47.0,0.000425,1011.92
48,-10.7679379,0.01919456,48.0,0.000462,1035.07
49,-10.76907398,0.02609395,49.0,0.00043,1057.89
50,-10.76771768,0.02154488,50.0,0.000462,1083.03
51,-10.76883058,0.02252852,51.0,0.000455,1109.13
52,-10.76829454,0.10557143,52.0,0.000463,1136.3
53,-10.76832845,0.02601407,53.0,0.000476,1161.45
54,-10.76793597,0.02723614,54.0,0.000505,1187.73
55,-10.76790487,0.04210227,55.0,0.00047,1213.22
56,-10.76881113,0.02539722,56.0,0.000481,1237.92
57,-10.76909781,0.01547814,57.0,0.000437,1260.72
58,-10.76787761,0.03871469,58.0,0.000478,1284.25
59,-10.7684891,0.02500185,59.0,0.000443,1309.71
60,-10.76773559,0.03752898,60.0,0.000499,1334.01
61,-10.76818622,0.02530324,61.0,0.000431,1360.43
62,-10.76807958,0.01755629,62.0,0.000426,1383.62
63,-10.76777864,0.03468131,63.0,0.000439,1410.09
64,-10.76760397,0.02987661,64.0,0.000482,1437.35
65,-10.76726963,0.05844792,65.0,0.00063,1461.02
66,-10.76766446,0.04415201,66.0,0.000518,1477.55
67,-10.76839963,0.02947154,67.0,0.000461,1501.64
68,-10.7674009,0.0295055,68.0,0.000498,1527.68
69,-10.76825898,0.01520534,69.0,0.000447,1553.74
70,-10.76842368,0.01734462,70.0,0.000466,1579.11
71,-10.76802715,0.01724394,71.0,0.000452,1603.56
72,-10.76803563,0.02831902,72.0,0.000434,1627.18
73,-10.76782444,0.0220138,73.0,0.000482,1650.43
74,-10.76791359,0.01656732,74.0,0.000427,1676.4
75,-10.76774111,0.01979983,75.0,0.000443,1700.99
76,-10.76764354,0.01504374,76.0,0.000438,1723.85
77,-10.76827692,0.01693262,77.0,0.000429,1747.85
78,-10.76843096,0.0117017,78.0,0.000419,1777.22
79,-10.76814137,0.01677925,79.0,0.000431,1801.66
80,-10.76857823,0.0247159,80.0,0.000421,1826.46
81,-10.76849461,0.02566713,81.0,0.000446,1852.32
82,-10.76800465,0.0275927,82.0,0.000437,1876.75
83,-10.76865449,0.01620779,83.0,0.000432,1901.49
84,-10.76882448,0.01464293,84.0,0.000422,1926.64
85,-10.76827538,0.04970859,85.0,0.000445,1949.42
86,-10.76878751,0.01928813,86.0,0.000437,1975.02
87,-10.76812575,0.01551366,87.0,0.000417,1998.09
88,-10.768337,0.01200349,88.0,0.000435,2021.23
89,-10.76868185,0.02395215,89.0,0.00044,2045.95
90,-10.7688284,0.00886537,90.0,0.000421,2070.27
91,-10.76878064,0.02092019,91.0,0.000428,2093.07
92,-10.76958786,0.01606348,92.0,0.000438,2117.62
93,-10.76835213,0.02539378,93.0,0.000416,2140.72
94,-10.76847179,0.01363856,94.0,0.000461,2163.51
95,-10.76791677,0.01030227,95.0,0.000444,2190.01
96,-10.76835989,0.01303101,96.0,0.000433,2213.2
97,-10.76893593,0.00940998,97.0,0.000435,2236.93
98,-10.7688843,0.01875546,98.0,0.000439,2259.73
99,-10.768827,0.00920747,99.0,0.00042,2283.3
