,Iteration,Energy,Noise,Gradient,Time
0,0.0,-75.47034421,0.00223,0.17563349,62.72
1,1.0,-75.57919188,0.00115,0.07457884,99.5
2,2.0,-75.60312153,0.00101,0.05016177,168.06
3,3.0,-75.61344131,0.000897,0.0422464,258.05
4,4.0,-75.6186134,0.000841,0.03607561,335.32
5,5.0,-75.62331605,0.000791,0.03822361,413.78
6,6.0,-75.62628864,0.000748,0.03811788,492.64
7,7.0,-75.62733928,0.000995,0.04133718,556.47
8,8.0,-75.62713202,0.000753,0.0346668,635.25
9,9.0,-75.62781272,0.000761,0.03932183,704.95
10,10.0,-75.6283856,0.000829,0.03737189,767.38
11,11.0,-75.62821409,0.000741,0.03666221,860.56
12,12.0,-75.62837552,0.000698,0.03732508,918.24
13,13.0,-75.62873296,0.000701,0.03337601,987.69
14,14.0,-75.62805885,0.000707,0.0371348,1050.39
15,15.0,-75.62842035,0.000812,0.02854615,1117.44
16,16.0,-75.62823337,0.000712,0.03819127,1183.18
17,17.0,-75.62910853,0.000695,0.02963213,1295.77
18,18.0,-75.62887335,0.000695,0.03864797,1368.28
19,19.0,-75.62916186,0.000708,0.03307431,1437.22
20,20.0,-75.62913573,0.00075,0.03315288,1536.57
21,21.0,-75.62908179,0.000726,0.03291259,1659.62
22,22.0,-75.62845526,0.000799,0.04208433,1728.0
23,23.0,-75.62906766,0.000723,0.03885573,1785.8
24,24.0,-75.63003942,0.000737,0.03612171,1850.87
25,25.0,-75.62880787,0.000701,0.0368935,1912.02
26,26.0,-75.63005527,0.00071,0.03781379,1969.77
27,27.0,-75.62993846,0.000749,0.03176272,2083.89
28,28.0,-75.62907743,0.000717,0.04067838,2176.62
29,29.0,-75.62909157,0.000699,0.03778425,2272.56
30,30.0,-75.62883214,0.000702,0.03343624,2350.5
31,31.0,-75.62917822,0.000758,0.05668704,2410.33
32,32.0,-75.62990292,0.000686,0.03230091,2490.74
33,33.0,-75.62927835,0.00072,0.05492377,2551.54
34,34.0,-75.6299714,0.000701,0.03138743,2611.03
35,35.0,-75.62967885,0.000712,0.03615082,2726.78
36,36.0,-75.62958992,0.000784,0.06132029,2788.81
37,37.0,-75.629648,0.000892,0.0688384,2871.7
38,38.0,-75.62971848,0.000703,0.07371365,2938.43
39,39.0,-75.62918263,0.000748,0.04034268,2996.16
40,40.0,-75.62938776,0.000871,0.06483239,3079.41
41,41.0,-75.62969411,0.000704,0.03633872,3149.33
42,42.0,-75.62948669,0.000717,0.03106052,3276.61
43,43.0,-75.62952757,0.00075,0.04177386,3392.03
44,44.0,-75.62971588,0.000707,0.03895865,3451.35
45,45.0,-75.63004971,0.000736,0.03912896,3563.69
46,46.0,-75.62942199,0.000747,0.03361938,3620.14
47,47.0,-75.62882921,0.000699,0.038102,3681.18
48,48.0,-75.63025997,0.00129,0.06015809,3758.02
49,49.0,-75.62957002,0.00116,0.14299949,3899.94
