,Iteration,Energy,Noise,Gradient,Time
0,0.0,-75.47034421,0.00223,0.17563349,2.46
1,1.0,-75.4429822,0.0027,0.82036087,4.97
2,2.0,-75.49809514,0.00198,0.52935981,7.47
3,3.0,-75.53028549,0.00197,0.47355633,9.97
4,4.0,-75.51305493,0.00235,0.70224585,12.47
5,5.0,-75.54934449,0.00202,0.44960067,14.97
6,6.0,-75.5560969,0.00191,0.38294965,17.48
7,7.0,-75.57026696,0.00164,0.28202799,19.98
8,8.0,-75.58480938,0.00149,0.19241325,22.48
9,9.0,-75.58090253,0.00143,0.22059968,24.97
10,10.0,-75.59005498,0.00141,0.1896127,27.52
11,11.0,-75.5921221,0.00139,0.17696661,30.03
12,12.0,-75.5936258,0.0013,0.17433404,32.53
13,13.0,-75.59995642,0.00116,0.11634468,35.03
14,14.0,-75.59775243,0.00119,0.14675852,37.53
15,15.0,-75.59901389,0.00116,0.14163934,40.03
16,16.0,-75.60513924,0.0011,0.08540183,42.55
17,17.0,-75.60563119,0.0011,0.10840213,45.05
18,18.0,-75.60536014,0.00109,0.12035256,47.54
19,19.0,-75.60668701,0.00106,0.08714751,50.05
20,20.0,-75.60767029,0.00108,0.08962197,52.56
21,21.0,-75.60731532,0.00105,0.10121818,55.1
22,22.0,-75.61071343,0.00103,0.07586793,57.65
23,23.0,-75.61166621,0.001,0.07149941,60.16
24,24.0,-75.61204087,0.000989,0.08289769,62.66
25,25.0,-75.61249601,0.000989,0.07024769,65.17
26,26.0,-75.61467544,0.000961,0.07206948,67.67
27,27.0,-75.61595592,0.000999,0.07037519,70.2
28,28.0,-75.61699812,0.000908,0.0530734,72.7
29,29.0,-75.61810059,0.000897,0.05875522,75.2
30,30.0,-75.61789168,0.000948,0.06565179,77.7
31,31.0,-75.61846472,0.000878,0.04889873,80.21
32,32.0,-75.6196394,0.00087,0.04902105,82.72
33,33.0,-75.61940754,0.000871,0.05073691,85.23
34,34.0,-75.62005359,0.000863,0.04404999,87.83
35,35.0,-75.62133393,0.000919,0.03927139,90.33
36,36.0,-75.62174658,0.000812,0.041783,92.83
37,37.0,-75.62105479,0.000818,0.03863572,95.34
38,38.0,-75.62199598,0.000837,0.03555001,97.84
39,39.0,-75.6231445,0.000873,0.03715738,100.35
40,40.0,-75.62310236,0.000852,0.02917164,102.84
41,41.0,-75.62316126,0.000899,0.03520199,105.37
42,42.0,-75.62285311,0.000821,0.03166685,107.88
43,43.0,-75.62416723,0.000796,0.02528855,110.39
44,44.0,-75.62437126,0.000818,0.02992334,112.89
45,45.0,-75.62434905,0.000892,0.02938546,115.42
46,46.0,-75.62378976,0.000774,0.02541122,117.93
47,47.0,-75.62370652,0.000832,0.02180692,120.44
48,48.0,-75.62448048,0.000794,0.02430783,122.95
49,49.0,-75.62484536,0.000916,0.02471792,125.48
50,50.0,-75.62490122,0.000768,0.02348025,127.97
51,51.0,-75.62541132,0.000769,0.0247147,130.5
52,52.0,-75.62482627,0.000775,0.02336791,133.0
53,53.0,-75.62466067,0.000847,0.02154356,135.53
54,54.0,-75.62552768,0.000777,0.02191985,138.02
55,55.0,-75.62547294,0.000771,0.02061973,140.53
56,56.0,-75.6256919,0.000758,0.01977155,143.03
57,57.0,-75.62535207,0.000735,0.01738878,145.55
58,58.0,-75.6255399,0.000765,0.02042378,148.11
59,59.0,-75.62607506,0.000765,0.01692482,150.63
60,60.0,-75.62637286,0.000876,0.02022707,153.13
61,61.0,-75.62581607,0.000776,0.02076392,155.63
62,62.0,-75.62482201,0.000771,0.01683996,158.14
63,63.0,-75.62628643,0.000739,0.01610295,160.66
64,64.0,-75.62582727,0.000761,0.01785174,163.16
65,65.0,-75.62671853,0.00081,0.01899324,165.68
66,66.0,-75.62613867,0.000797,0.0210844,168.18
67,67.0,-75.62575045,0.0008,0.01766488,170.68
68,68.0,-75.62638091,0.000751,0.01756935,173.18
69,69.0,-75.62637429,0.00077,0.01538221,175.71
70,70.0,-75.62601322,0.000741,0.01903322,178.27
71,71.0,-75.62607224,0.00105,0.03188945,180.79
72,72.0,-75.62639034,0.00072,0.0181691,183.29
73,73.0,-75.62615353,0.000761,0.01863234,185.8
74,74.0,-75.62657985,0.000735,0.01621408,188.3
75,75.0,-75.62624909,0.000741,0.01645591,190.81
76,76.0,-75.62645653,0.000806,0.01593126,193.31
77,77.0,-75.62694477,0.000772,0.01640491,195.83
78,78.0,-75.62703902,0.000722,0.01687243,198.33
79,79.0,-75.62584122,0.000756,0.01823174,200.83
80,80.0,-75.62696799,0.000729,0.01717023,203.34
81,81.0,-75.62662993,0.000829,0.01572748,205.86
82,82.0,-75.62685085,0.00079,0.02512513,208.37
83,83.0,-75.62614378,0.000746,0.01508883,210.88
84,84.0,-75.62597762,0.000727,0.01548733,213.38
85,85.0,-75.62707313,0.000725,0.01581011,215.9
86,86.0,-75.62684402,0.000709,0.01615288,218.4
87,87.0,-75.62689986,0.000757,0.03034214,220.92
88,88.0,-75.62685054,0.000794,0.01694425,223.43
89,89.0,-75.62630646,0.000746,0.01457744,225.93
90,90.0,-75.62649852,0.000789,0.01699003,228.43
91,91.0,-75.62646169,0.000725,0.0172279,230.93
92,92.0,-75.62657491,0.000754,0.01717313,233.43
93,93.0,-75.6263236,0.000774,0.01564752,235.95
94,94.0,-75.62614082,0.000749,0.01394246,238.46
95,95.0,-75.62660732,0.00074,0.0137135,240.98
96,96.0,-75.62616354,0.000815,0.01854357,243.48
97,97.0,-75.6264898,0.000751,0.01540083,245.99
98,98.0,-75.62667955,0.000775,0.01549469,248.49
99,99.0,-75.6269466,0.00074,0.01279872,250.99
100,100.0,-75.62618397,0.000748,0.01510277,254.67
101,101.0,-75.6264817,0.000877,0.0146633,257.17
102,102.0,-75.62647558,0.000761,0.01452737,259.68
103,103.0,-75.6271406,0.000735,0.01496818,262.19
104,104.0,-75.62692951,0.000726,0.01297248,264.69
105,105.0,-75.62715248,0.000805,0.01305826,267.26
106,106.0,-75.6267687,0.000756,0.01207611,269.76
107,107.0,-75.62697351,0.000797,0.01534915,272.29
108,108.0,-75.62730783,0.000761,0.01320902,274.79
109,109.0,-75.62744118,0.000844,0.01427854,277.31
110,110.0,-75.62756187,0.00073,0.01450438,279.82
111,111.0,-75.62689415,0.000728,0.01427384,282.32
112,112.0,-75.62716609,0.000729,0.01341207,284.82
113,113.0,-75.62721927,0.000737,0.01404966,287.35
114,114.0,-75.62706153,0.000794,0.01393947,289.85
115,115.0,-75.62656263,0.000768,0.01508201,292.37
116,116.0,-75.62664291,0.000712,0.01342395,294.87
117,117.0,-75.6266705,0.000726,0.01393656,297.41
118,118.0,-75.62702004,0.000749,0.01392519,299.91
119,119.0,-75.62717934,0.000802,0.01408466,302.44
120,120.0,-75.62736354,0.000765,0.014284,304.94
121,121.0,-75.62697329,0.000773,0.01868998,307.45
122,122.0,-75.62617308,0.000761,0.01387819,309.94
123,123.0,-75.62716847,0.000766,0.01725714,312.46
124,124.0,-75.62780833,0.000944,0.02470715,314.97
125,125.0,-75.62723497,0.000731,0.01450999,317.49
126,126.0,-75.6268941,0.000776,0.01570302,320.0
127,127.0,-75.62698385,0.000761,0.02054275,322.53
128,128.0,-75.62725281,0.000744,0.01633975,325.03
129,129.0,-75.62665723,0.000724,0.01518982,327.61
130,130.0,-75.62661115,0.000725,0.01628553,330.11
131,131.0,-75.62699862,0.000773,0.01495423,332.62
132,132.0,-75.62706931,0.000728,0.01646804,335.12
133,133.0,-75.62723165,0.000723,0.01592106,337.62
134,134.0,-75.62715944,0.000749,0.0144603,340.12
135,135.0,-75.62722456,0.00074,0.01493948,342.62
136,136.0,-75.62771528,0.000838,0.01490204,345.13
137,137.0,-75.62742816,0.000752,0.01566729,347.63
138,138.0,-75.62769621,0.000733,0.01475299,350.13
139,139.0,-75.62724768,0.000787,0.01405999,352.64
140,140.0,-75.62710609,0.000725,0.01413078,355.14
141,141.0,-75.62745744,0.000781,0.02494177,357.68
142,142.0,-75.62741625,0.000821,0.01320868,360.18
143,143.0,-75.62706563,0.000821,0.0176986,362.68
144,144.0,-75.6275718,0.000837,0.01784858,365.19
145,145.0,-75.62744169,0.000768,0.01539945,367.69
146,146.0,-75.62762822,0.0007,0.01564874,370.18
147,147.0,-75.62771073,0.000822,0.01579154,372.7
148,148.0,-75.62748436,0.000707,0.01443627,375.2
149,149.0,-75.62699518,0.000802,0.01508353,377.71
150,150.0,-75.62719471,0.000756,0.01396107,380.21
151,151.0,-75.62684234,0.000823,0.01350933,382.72
152,152.0,-75.62720062,0.00076,0.01346084,385.22
153,153.0,-75.62779461,0.000779,0.01410049,387.76
154,154.0,-75.62801436,0.000759,0.01842916,390.26
155,155.0,-75.62717785,0.000751,0.01589334,392.79
156,156.0,-75.6274626,0.000725,0.01422257,395.29
157,157.0,-75.62728827,0.000745,0.01512606,397.81
158,158.0,-75.62747121,0.000752,0.0143587,400.31
159,159.0,-75.62776366,0.00076,0.0133683,402.83
160,160.0,-75.62690899,0.000857,0.0169208,405.33
161,161.0,-75.62730256,0.000878,0.01363667,407.85
162,162.0,-75.62741702,0.000737,0.01520316,410.35
163,163.0,-75.62782239,0.000744,0.0153481,412.88
164,164.0,-75.6276412,0.000752,0.0128073,415.38
165,165.0,-75.62820586,0.00073,0.01412519,417.9
166,166.0,-75.62757055,0.00078,0.01424266,420.42
167,167.0,-75.62750513,0.000727,0.0133256,422.92
168,168.0,-75.62770375,0.000732,0.01346238,425.42
169,169.0,-75.6272004,0.000807,0.01412936,427.93
170,170.0,-75.62739747,0.00086,0.01774247,430.43
171,171.0,-75.62738896,0.000717,0.03007556,432.94
172,172.0,-75.62701524,0.000762,0.0146839,435.43
173,173.0,-75.62739589,0.00076,0.01943496,437.92
174,174.0,-75.62764355,0.000753,0.01329549,440.42
175,175.0,-75.62741461,0.000739,0.01485868,442.91
176,176.0,-75.62774794,0.000749,0.01398816,445.42
177,177.0,-75.62778495,0.000748,0.01464839,447.94
