,Iteration,Energy,Noise,Gradient,Time
0,0.0,-75.47034421,0.00223,0.17563349,1452.73
1,1.0,-75.57479004,0.00109,0.10121891,2277.77
2,2.0,-75.59147296,0.0013,0.19727017,3731.35
3,3.0,-75.60120177,0.0012,0.12901134,5184.63
4,4.0,-75.60782603,0.000991,0.08268246,6643.48
5,5.0,-75.60909422,0.00103,0.13787699,8100.3
6,6.0,-75.61717575,0.000872,0.06674701,9558.42
7,7.0,-75.62039676,0.000852,0.04889512,11017.28
8,8.0,-75.62301976,0.000863,0.03749567,12475.35
9,9.0,-75.62499423,0.000807,0.02593992,13934.09
10,10.0,-75.626453,0.000783,0.02586546,15392.51
11,11.0,-75.6277462,0.000779,0.01994343,16850.85
12,12.0,-75.62789626,0.000721,0.02040554,18308.33
13,13.0,-75.62800389,0.000745,0.02015894,19767.36
14,14.0,-75.62898215,0.000734,0.02197911,21226.68
15,15.0,-75.62791619,0.000713,0.01853518,22686.48
16,16.0,-75.62809416,0.000704,0.01918623,24148.0
17,17.0,-75.62855721,0.000733,0.02408896,25606.54
18,18.0,-75.62836914,0.000773,0.02820507,27065.81
19,19.0,-75.62915538,0.000736,0.02218686,28527.12
20,20.0,-75.6290551,0.000778,0.03185735,29987.27
21,21.0,-75.62839196,0.000698,0.02753528,31449.2
22,22.0,-75.62942008,0.000892,0.05466255,32908.14
23,23.0,-75.62991741,0.00159,0.05213646,34371.87
24,24.0,-75.62941951,0.000697,0.03487772,35833.3
25,25.0,-75.62923944,0.00072,0.04538979,37295.29
26,26.0,-75.62894356,0.000744,0.03373956,38756.8
27,27.0,-75.62924515,0.000717,0.03627116,40217.14
28,28.0,-75.62892431,0.000795,0.03389208,41677.52
29,29.0,-75.62983839,0.000688,0.05407248,43137.77
30,30.0,-75.62950935,0.000718,0.03358225,44600.5
31,31.0,-75.62888952,0.000731,0.03718302,46059.77
32,32.0,-75.62902696,0.000769,0.08345729,47523.38
33,33.0,-75.62941504,0.00137,0.05984259,48983.74
34,34.0,-75.6297681,0.000749,0.05081195,50446.12
35,35.0,-75.62952415,0.000807,0.04279305,51907.19
36,36.0,-75.62986942,0.00069,0.03573104,53370.7
37,37.0,-75.62949412,0.000684,0.03128143,54833.45
38,38.0,-75.6299114,0.000818,0.04283855,56294.97
39,39.0,-75.62945865,0.00071,0.03606369,57757.66
40,40.0,-75.62972348,0.000718,0.13252532,59218.49
41,41.0,-75.63028342,0.000695,0.06359056,60680.01
42,42.0,-75.62976765,0.000773,0.06614279,62142.04
43,43.0,-75.62908009,0.000724,0.056185,63603.28
44,44.0,-75.6299737,0.000741,0.03209091,65065.0
45,45.0,-75.62971872,0.000776,0.04552494,66527.44
46,46.0,-75.62968561,0.00103,0.15084891,67990.4
47,47.0,-75.62987996,0.000721,0.06197659,69452.88
48,48.0,-75.62920284,0.000743,0.04537288,70914.2
49,49.0,-75.62982279,0.000709,0.03624656,72375.57
