,Iteration,Energy,Noise,Gradient,Time
0,0.0,-75.47034421,0.00223,0.17563349,3.67
1,1.0,-75.51658657,0.00161,0.13401262,7.56
2,2.0,-75.54263967,0.00127,0.13119316,11.29
3,3.0,-75.56192053,0.00109,0.11013508,15.06
4,4.0,-75.57322127,0.00103,0.10312306,18.79
5,5.0,-75.58286868,0.000975,0.09600831,22.66
6,6.0,-75.58934191,0.000915,0.09059459,26.41
7,7.0,-75.59353264,0.000831,0.08686214,30.15
8,8.0,-75.59734445,0.000826,0.0804744,33.92
9,9.0,-75.60041595,0.000825,0.07780263,37.81
10,10.0,-75.6017835,0.000782,0.0753059,41.55
11,11.0,-75.60519407,0.000847,0.07900702,45.29
12,12.0,-75.60562002,0.000806,0.0784596,49.01
13,13.0,-75.60752246,0.000775,0.0699045,52.74
14,14.0,-75.60948735,0.000803,0.06400831,56.53
15,15.0,-75.60969644,0.00077,0.06183716,60.31
16,16.0,-75.6106293,0.000781,0.05907349,64.15
17,17.0,-75.61146123,0.000754,0.05788767,67.98
18,18.0,-75.61235012,0.000763,0.05951101,71.7
19,19.0,-75.61267657,0.000738,0.05446332,75.43
20,20.0,-75.61383185,0.000721,0.05449597,79.16
21,21.0,-75.61478164,0.000774,0.0569444,82.89
22,22.0,-75.61511384,0.00077,0.05377323,86.63
23,23.0,-75.61564246,0.000863,0.05507577,90.41
24,24.0,-75.6148198,0.000842,0.06278122,94.21
25,25.0,-75.61647531,0.000767,0.05346101,98.02
26,26.0,-75.61682665,0.000751,0.04889745,101.77
27,27.0,-75.61662644,0.000842,0.04990652,105.56
28,28.0,-75.61727959,0.000749,0.0486305,109.3
29,29.0,-75.61773033,0.000736,0.05082763,113.17
30,30.0,-75.61814329,0.000864,0.050386,117.74
31,31.0,-75.61773352,0.000798,0.05552784,121.46
32,32.0,-75.61946558,0.000795,0.04562607,125.2
33,33.0,-75.61961719,0.000757,0.045761,128.99
34,34.0,-75.61927158,0.000761,0.03958276,132.71
35,35.0,-75.61969715,0.000781,0.0471233,136.44
36,36.0,-75.62109873,0.000752,0.06749267,140.16
37,37.0,-75.6210003,0.000914,0.0547165,143.95
38,38.0,-75.61856522,0.000864,0.05571437,147.68
39,39.0,-75.62027312,0.000745,0.04365411,151.43
40,40.0,-75.62100336,0.000773,0.06035843,155.17
41,41.0,-75.62150081,0.00078,0.04302002,158.95
42,42.0,-75.62131985,0.000796,0.08994235,162.68
43,43.0,-75.62176908,0.00081,0.0422616,166.4
44,44.0,-75.62117902,0.000798,0.0415286,170.16
45,45.0,-75.62107419,0.000788,0.04121584,173.89
46,46.0,-75.62249884,0.000761,0.04416975,177.61
47,47.0,-75.62255945,0.000743,0.04177436,181.35
48,48.0,-75.62313926,0.000889,0.04305159,185.09
49,49.0,-75.62235368,0.000794,0.04711618,188.89
50,50.0,-75.62365653,0.000756,0.03550541,192.62
51,51.0,-75.62330597,0.00089,0.04215219,196.35
52,52.0,-75.62123775,0.000849,0.05801876,200.07
53,53.0,-75.62387192,0.000873,0.04113063,203.86
54,54.0,-75.62307933,0.00116,0.1283632,207.58
55,55.0,-75.62115178,0.000957,0.06562168,211.35
56,56.0,-75.62379078,0.000884,0.04811523,215.09
57,57.0,-75.62356355,0.000801,0.05136567,218.88
58,58.0,-75.62458472,0.000843,0.03748301,222.61
59,59.0,-75.62508623,0.000748,0.0402099,226.34
60,60.0,-75.62435468,0.000753,0.03479668,230.1
