,Energy,Gradient,Iteration,Noise,Time
0,-75.47034421,0.17563349,0.0,0.00223,61.97
1,-75.57739414,0.0749535,1.0,0.00128,146.97
2,-75.60539255,0.11109205,2.0,0.000988,297.69
3,-75.61676823,0.06965284,3.0,0.000879,437.11
4,-75.6224838,0.08963917,4.0,0.000812,589.3
5,-75.62311004,0.04386798,5.0,0.000773,765.42
6,-75.62482967,0.06655432,6.0,0.000785,911.85
7,-75.62587891,0.06151159,7.0,0.000728,1030.79
8,-75.62726315,0.09560229,8.0,0.000779,1146.7
9,-75.62813884,0.05763926,9.0,0.000906,1228.78
10,-75.62843342,0.05005879,10.0,0.000709,1361.7
11,-75.6287522,0.05020281,11.0,0.000733,1499.88
12,-75.62911925,0.0411556,12.0,0.000728,1588.26
13,-75.62931335,0.03899173,13.0,0.000701,1692.57
14,-75.62930223,0.04671146,14.0,0.000735,1760.01
15,-75.62923819,0.05116206,15.0,0.000702,1896.78
16,-75.62969943,0.04317976,16.0,0.000705,2035.3
17,-75.62934943,0.03998771,17.0,0.000703,2139.82
18,-75.62887587,0.03920502,18.0,0.000749,2247.51
19,-75.62941564,0.0489107,19.0,0.000763,2332.03
20,-75.62854406,0.03891932,20.0,0.000723,2485.53
21,-75.62929754,0.05616719,21.0,0.000794,2587.0
22,-75.62978093,0.0475314,22.0,0.000766,2668.8
23,-75.62985493,0.03623523,23.0,0.000705,2733.43
24,-75.62955445,0.05868729,24.0,0.00102,2812.86
25,-75.6294495,0.04564036,25.0,0.000693,2959.28
26,-75.62993475,0.0361411,26.0,0.000708,3059.94
27,-75.62912539,0.06868524,27.0,0.000719,3127.33
28,-75.6295098,0.03829706,28.0,0.000695,3194.79
29,-75.62974806,0.04620017,29.0,0.000716,3287.56
30,-75.62942163,0.0602938,30.0,0.000787,3376.6
31,-75.62913054,0.03809237,31.0,0.000704,3486.5
32,-75.62979656,0.04139481,32.0,0.000723,3624.78
33,-75.62919651,0.04837936,33.0,0.000693,3732.56
34,-75.62935494,0.05958248,34.0,0.000849,3814.73
35,-75.62949162,0.05047591,35.0,0.000782,3893.31
36,-75.62917061,0.06549083,36.0,0.000725,3976.93
37,-75.62956438,0.13301359,37.0,0.000874,4047.09
38,-75.62872048,0.06055156,38.0,0.000717,4126.18
39,-75.62935655,0.07604517,39.0,0.000894,4254.58
40,-75.62923833,0.04426182,40.0,0.000721,4390.19
41,-75.62945618,0.06738986,41.0,0.000787,4477.84
42,-75.62937381,0.11769066,42.0,0.000752,4578.14
43,-75.62948881,0.04240914,43.0,0.000702,4642.95
44,-75.62992065,0.04688584,44.0,0.000723,4727.73
45,-75.62914464,0.04612519,45.0,0.000787,4837.57
46,-75.62957353,0.04759508,46.0,0.000722,4953.32
47,-75.62963952,0.05197154,47.0,0.000709,5021.28
48,-75.62976823,0.03817437,48.0,0.000673,5094.67
49,-75.62969997,0.09226863,49.0,0.000729,5183.45
