,Energy,Gradient,Iteration,Noise,Time
0,-75.47034421,0.17563349,0.0,0.00223,3.67
1,-75.51658657,0.13401262,1.0,0.00161,7.56
2,-75.54263967,0.13119316,2.0,0.00127,11.29
3,-75.56192053,0.11013508,3.0,0.00109,15.06
4,-75.57322127,0.10312306,4.0,0.00103,18.79
5,-75.58286868,0.09600831,5.0,0.000975,22.66
6,-75.58934191,0.09059459,6.0,0.000915,26.41
7,-75.59353264,0.08686214,7.0,0.000831,30.15
8,-75.59734445,0.0804744,8.0,0.000826,33.92
9,-75.60041595,0.07780263,9.0,0.000825,37.81
10,-75.6017835,0.0753059,10.0,0.000782,41.55
11,-75.60519407,0.07900702,11.0,0.000847,45.29
12,-75.60562002,0.0784596,12.0,0.000806,49.01
13,-75.60752246,0.0699045,13.0,0.000775,52.74
14,-75.60948735,0.06400831,14.0,0.000803,56.53
15,-75.60969644,0.06183716,15.0,0.00077,60.31
16,-75.6106293,0.05907349,16.0,0.000781,64.15
17,-75.61146123,0.05788767,17.0,0.000754,67.98
18,-75.61235012,0.05951101,18.0,0.000763,71.7
19,-75.61267657,0.05446332,19.0,0.000738,75.43
20,-75.61383185,0.05449597,20.0,0.000721,79.16
21,-75.61478164,0.0569444,21.0,0.000774,82.89
22,-75.61511384,0.05377323,22.0,0.00077,86.63
23,-75.61564246,0.05507577,23.0,0.000863,90.41
24,-75.6148198,0.06278122,24.0,0.000842,94.21
25,-75.61647531,0.05346101,25.0,0.000767,98.02
26,-75.61682665,0.04889745,26.0,0.000751,101.77
27,-75.61662644,0.04990652,27.0,0.000842,105.56
28,-75.61727959,0.0486305,28.0,0.000749,109.3
29,-75.61773033,0.05082763,29.0,0.000736,113.17
30,-75.61814329,0.050386,30.0,0.000864,117.74
31,-75.61773352,0.05552784,31.0,0.000798,121.46
32,-75.61946558,0.04562607,32.0,0.000795,125.2
33,-75.61961719,0.045761,33.0,0.000757,128.99
34,-75.61927158,0.03958276,34.0,0.000761,132.71
35,-75.61969715,0.0471233,35.0,0.000781,136.44
36,-75.62109873,0.06749267,36.0,0.000752,140.16
37,-75.6210003,0.0547165,37.0,0.000914,143.95
38,-75.61856522,0.05571437,38.0,0.000864,147.68
39,-75.62027312,0.04365411,39.0,0.000745,151.43
40,-75.62100336,0.06035843,40.0,0.000773,155.17
41,-75.62150081,0.04302002,41.0,0.00078,158.95
42,-75.62131985,0.08994235,42.0,0.000796,162.68
43,-75.62176908,0.0422616,43.0,0.00081,166.4
44,-75.62117902,0.0415286,44.0,0.000798,170.16
45,-75.62107419,0.04121584,45.0,0.000788,173.89
46,-75.62249884,0.04416975,46.0,0.000761,177.61
47,-75.62255945,0.04177436,47.0,0.000743,181.35
48,-75.62313926,0.04305159,48.0,0.000889,185.09
49,-75.62235368,0.04711618,49.0,0.000794,188.89
50,-75.62365653,0.03550541,50.0,0.000756,192.62
51,-75.62330597,0.04215219,51.0,0.00089,196.35
52,-75.62123775,0.05801876,52.0,0.000849,200.07
53,-75.62387192,0.04113063,53.0,0.000873,203.86
54,-75.62307933,0.1283632,54.0,0.00116,207.58
55,-75.62115178,0.06562168,55.0,0.000957,211.35
56,-75.62379078,0.04811523,56.0,0.000884,215.09
57,-75.62356355,0.05136567,57.0,0.000801,218.88
58,-75.62458472,0.03748301,58.0,0.000843,222.61
59,-75.62508623,0.0402099,59.0,0.000748,226.34
60,-75.62435468,0.03479668,60.0,0.000753,230.1
61,-75.62518205,0.03407908,61.0,0.000747,233.83
62,-75.62484808,0.03920972,62.0,0.000746,237.54
63,-75.62481965,0.03278139,63.0,0.000774,241.26
64,-75.62480405,0.04470132,64.0,0.00075,244.99
65,-75.62491145,0.03423874,65.0,0.000766,248.77
66,-75.6254111,0.03550164,66.0,0.000802,252.5
67,-75.62560934,0.03580501,67.0,0.000752,256.24
68,-75.62517057,0.03849933,68.0,0.000805,259.96
69,-75.62515851,0.04503593,69.0,0.000801,263.76
70,-75.62594063,0.03227155,70.0,0.000752,267.48
