,Energy,Gradient,Iteration,Noise,Time
0,-26.26816754,0.27168618,0.0,0.00206,101.26
1,-24.35549853,4.72943455,1.0,0.00795,204.97
2,-25.26592905,2.54766109,2.0,0.00623,308.76
3,-25.07484194,2.39041513,3.0,0.00482,412.85
4,-25.15337883,3.99561561,4.0,0.00559,516.4
5,-25.8134427,1.36647733,5.0,0.00486,620.28
6,-25.91374248,1.21330944,6.0,0.00452,724.6
7,-25.7686165,1.99103635,7.0,0.0045,828.41
8,-25.8883772,1.45160424,8.0,0.00383,932.57
9,-25.98577828,0.95481309,9.0,0.00329,1037.08
10,-26.03580265,0.84234787,10.0,0.00324,1141.09
11,-25.89119212,2.76026838,11.0,0.00475,1244.96
12,-26.04996251,1.02610274,12.0,0.00319,1349.07
13,-26.13162967,0.78840318,13.0,0.0029,1453.59
14,-26.16304968,0.93820925,14.0,0.00278,1557.52
15,-25.70189959,5.30630224,15.0,0.00369,1662.52
16,-26.16673501,0.94016187,16.0,0.00262,1767.01
17,-25.88230157,2.95093641,17.0,0.00389,1871.86
18,-26.16168809,1.20318519,18.0,0.00259,1975.89
19,-26.24976085,0.89466,19.0,0.00245,2080.47
20,-25.89345497,1.61181916,20.0,0.00278,2184.67
21,-26.28333656,1.02418154,21.0,0.00212,2289.03
22,-26.09116111,1.23635894,22.0,0.00259,2393.39
23,-26.26629627,1.26883495,23.0,0.00218,2497.76
24,-26.45063135,0.55994197,24.0,0.00175,2601.99
25,-26.3883798,0.79411503,25.0,0.00227,2706.3
26,-26.29984306,0.64885934,26.0,0.00208,2810.1
27,-26.38776091,0.80979673,27.0,0.00192,2914.04
28,-26.51466362,0.53894178,28.0,0.00163,3018.54
29,-26.52078673,0.70740621,29.0,0.00175,3123.33
30,-26.54810018,0.56933243,30.0,0.00178,3228.56
31,-26.55568279,0.59823507,31.0,0.00189,3333.11
32,-26.54539463,0.64742511,32.0,0.00194,3437.3
33,-26.56403133,0.62240995,33.0,0.00185,3542.1
34,-26.60578518,0.53200156,34.0,0.00175,3646.95
35,-26.64953614,0.46517109,35.0,0.00153,3751.64
36,-26.67820223,0.40430286,36.0,0.00137,3855.82
37,-26.69403829,0.37497497,37.0,0.0013,3960.37
38,-26.70169649,0.36437644,38.0,0.00127,4064.58
39,-26.70481867,0.37492757,39.0,0.00129,4168.81
40,-26.71413569,0.35793835,40.0,0.00125,4272.65
41,-26.72669601,0.32845741,41.0,0.00123,4377.55
42,-26.73639496,0.32877617,42.0,0.00119,4481.95
43,-26.74896038,0.31103265,43.0,0.00116,4586.66
44,-26.76701432,0.24235129,44.0,0.00097,4691.29
45,-26.77223,0.22701264,45.0,0.00103,4795.74
46,-26.77308248,0.26297891,46.0,0.00101,4900.15
47,-26.7789745,0.22638585,47.0,0.000968,5004.39
48,-26.78501777,0.18697307,48.0,0.000982,5108.67
49,-26.78415518,0.21133922,49.0,0.00101,5213.19
50,-26.78801199,0.22973921,50.0,0.000967,5317.2
51,-26.79460233,0.17982578,51.0,0.00091,5421.65
52,-26.7982844,0.14675984,52.0,0.000946,5525.63
53,-26.79924368,0.1850967,53.0,0.000917,5629.68
54,-26.80469793,0.18125262,54.0,0.000925,5733.91
55,-26.80931719,0.1314609,55.0,0.000865,5838.26
56,-26.81179086,0.13264217,56.0,0.000861,5942.25
57,-26.81101336,0.16598089,57.0,0.000886,6046.99
58,-26.81499704,0.14257463,58.0,0.00084,6151.36
59,-26.81956962,0.11048907,59.0,0.00083,6255.75
60,-26.81970995,0.13406753,60.0,0.000811,6360.03
61,-26.8215578,0.1333253,61.0,0.000797,6464.26
62,-26.82482902,0.10131155,62.0,0.000752,6568.95
63,-26.82631831,0.09528773,63.0,0.00079,6673.5
64,-26.8270414,0.11546106,64.0,0.000756,6778.17
65,-26.82903055,0.10628769,65.0,0.000783,6882.26
66,-26.83200052,0.08816914,66.0,0.000754,6986.9
67,-26.83197237,0.09205242,67.0,0.000741,7091.81
68,-26.83385203,0.09197336,68.0,0.000734,7196.42
69,-26.83431737,0.08616269,69.0,0.000777,7301.07
70,-26.83695673,0.08056263,70.0,0.000727,7405.89
71,-26.83768626,0.08031219,71.0,0.000731,7509.98
72,-26.83836928,0.07968581,72.0,0.000721,7613.85
73,-26.83960267,0.07592384,73.0,0.000745,7718.52
74,-26.8409296,0.07063261,74.0,0.000704,7822.86
75,-26.84113532,0.07039543,75.0,0.00072,7927.26
76,-26.84396105,0.05842878,76.0,0.000662,8031.29
77,-26.84367785,0.06993667,77.0,0.00071,8135.51
78,-26.84399423,0.06619,78.0,0.000695,8240.02
79,-26.843868,0.06121586,79.0,0.000726,8344.24
80,-26.84371563,0.06484806,80.0,0.000754,8448.72
81,-26.84678609,0.05656093,81.0,0.000704,8552.92
