,Energy,Gradient,Iteration,Noise,Time
0,-26.26816754,0.27168618,0.0,0.00206,104.89
1,-26.11820449,1.27222518,1.0,0.00277,209.89
2,-26.22775814,0.9710921,2.0,0.00281,314.49
3,-26.20725055,1.10528283,3.0,0.00376,419.48
4,-26.30231422,0.80588756,4.0,0.0028,524.21
5,-26.35112659,0.48487413,5.0,0.00317,629.0
6,-26.34746758,0.6435366,6.0,0.00338,738.73
7,-26.39106364,0.52783705,7.0,0.00329,843.48
8,-26.42536317,0.63569623,8.0,0.00297,949.57
9,-26.47571096,0.40078803,9.0,0.00247,1054.38
10,-26.49615539,0.43708703,10.0,0.00249,1160.7
11,-26.52157481,0.36803375,11.0,0.00237,1265.47
12,-26.54070035,0.39911115,12.0,0.00215,1370.25
13,-26.56684333,0.39399913,13.0,0.00192,1475.24
14,-26.59639235,0.27869858,14.0,0.00178,1580.35
15,-26.60755512,0.3060512,15.0,0.00173,1685.01
16,-26.62216254,0.29802535,16.0,0.00175,1789.71
17,-26.63708598,0.25856592,17.0,0.00161,1894.21
18,-26.64641793,0.26893123,18.0,0.00161,1998.52
19,-26.65882037,0.25458502,19.0,0.00162,2102.97
20,-26.67164406,0.2104097,20.0,0.00149,2207.81
21,-26.67928764,0.23056881,21.0,0.0014,2312.58
22,-26.69129989,0.20570687,22.0,0.0014,2416.61
23,-26.69883979,0.18760185,23.0,0.00135,2520.59
24,-26.7022617,0.19508788,24.0,0.00145,2624.89
25,-26.71296902,0.24251876,25.0,0.00129,3309.06
26,-26.7500191,0.18483604,26.0,0.00108,4165.3
27,-26.78140246,0.17159008,27.0,0.000997,5063.11
28,-26.80067525,0.15218804,28.0,0.000948,5929.63
29,-26.82396892,0.15551265,29.0,0.000911,6747.86
30,-26.83840429,0.14756768,30.0,0.000898,7556.69
31,-26.84820563,0.17750208,31.0,0.000855,8295.11
32,-26.86061589,0.14662431,32.0,0.000719,9029.42
33,-26.86651272,0.12042997,33.0,0.000729,9867.84
34,-26.87542329,0.1147327,34.0,0.000643,10732.75
35,-26.87895187,0.15670056,35.0,0.000672,11688.89
36,-26.88563973,0.22158768,36.0,0.000603,12513.43
37,-26.88610939,0.16464721,37.0,0.000748,13495.92
38,-26.88897524,0.14407275,38.0,0.000878,14158.08
39,-26.89265591,0.17777293,39.0,0.000667,14681.05
40,-26.89210888,0.12895253,40.0,0.000716,15337.99
41,-26.89344473,0.13866486,41.0,0.000723,16132.63
42,-26.89510659,0.1220729,42.0,0.00063,16851.29
43,-26.89712536,0.116309,43.0,0.000562,17559.71
44,-26.89693904,0.1768066,44.0,0.000601,18476.84
45,-26.8982672,0.15908456,45.0,0.000594,19223.63
46,-26.89948068,0.09784663,46.0,0.000529,19996.21
47,-26.8993832,0.11263047,47.0,0.000617,20817.18
48,-26.90024187,0.10713955,48.0,0.000558,21508.26
49,-26.90057071,0.11800017,49.0,0.000486,22254.03
50,-26.90109746,0.13456525,50.0,0.000457,23098.74
51,-26.90170061,0.10491537,51.0,0.000471,24086.09
52,-26.90223435,0.09939131,52.0,0.000504,24958.12
53,-26.90295964,0.07569821,53.0,0.000454,25946.33
54,-26.90441682,0.08177518,54.0,0.00048,26872.61
55,-26.90444682,0.08803776,55.0,0.000406,27615.04
56,-26.90476269,0.07167117,56.0,0.000384,28651.76
57,-26.90486884,0.0717059,57.0,0.000419,29853.38
58,-26.9048024,0.08393255,58.0,0.000415,31115.07
59,-26.90621881,0.06742215,59.0,0.000358,32152.77
60,-26.90573921,0.08001057,60.0,0.000404,33334.63
61,-26.90593619,0.07737828,61.0,0.00039,34331.64
62,-26.9061818,0.10331805,62.0,0.000389,35369.18
63,-26.90673204,0.07883661,63.0,0.000346,36376.13
64,-26.90568384,0.06773608,64.0,0.000398,37911.18
65,-26.90658554,0.08641954,65.0,0.000373,38949.04
66,-26.90696844,0.06190408,66.0,0.000385,39947.52
67,-26.90726874,0.12058889,67.0,0.00034,40921.87
68,-26.9073479,0.06330653,68.0,0.000338,42162.73
69,-26.90786556,0.05463526,69.0,0.00035,43496.28
70,-26.90798098,0.04411626,70.0,0.000309,44755.85
71,-26.90743639,0.07138918,71.0,0.000348,46175.15
72,-26.90753036,0.0575976,72.0,0.000346,47412.9
73,-26.90769124,0.06108232,73.0,0.000317,48731.94
74,-26.90826601,0.06155466,74.0,0.000338,50137.58
75,-26.90774799,0.05367715,75.0,0.000313,51791.74
76,-26.90792409,0.06435779,76.0,0.000341,53415.65
77,-26.90858499,0.06566925,77.0,0.000321,54547.39
78,-26.90845711,0.05714169,78.0,0.000302,56056.2
79,-26.90836128,0.06186761,79.0,0.000325,57444.11
80,-26.90856104,0.05983383,80.0,0.000297,58721.46
81,-26.90787911,0.07019134,81.0,0.000328,60232.93
82,-26.90844225,0.06242008,82.0,0.00031,61555.53
83,-26.90843931,0.06560452,83.0,0.000331,62995.47
84,-26.90871267,0.06706687,84.0,0.00032,64308.82
85,-26.9084164,0.05867415,85.0,0.000305,65651.02
86,-26.90864824,0.06676374,86.0,0.000314,67045.34
87,-26.90846737,0.05590045,87.0,0.00031,68468.26
88,-26.90905008,0.06051696,88.0,0.000304,70026.23
89,-26.90990209,0.04722626,89.0,0.000277,71582.03
90,-26.90834618,0.05480647,90.0,0.000321,73546.49
91,-26.90905042,0.0505011,91.0,0.000287,74821.7
92,-26.90873176,0.06108347,92.0,0.000323,76764.79
93,-26.90870756,0.07569329,93.0,0.00029,78017.91
94,-26.90896104,0.09193113,94.0,0.000305,79908.85
95,-26.90891997,0.06771698,95.0,0.000287,81721.17
96,-26.90898759,0.07187932,96.0,0.000282,83410.34
97,-26.90979389,0.05865688,97.0,0.000291,84916.93
98,-26.90917825,0.07228015,98.0,0.000303,86372.81
99,-26.90956465,0.05524565,99.0,0.000295,87976.57
100,-26.90980055,0.04876805,100.0,0.000289,89650.76
101,-26.90964273,0.06640501,101.0,0.000295,91312.95
102,-26.90969488,0.06320527,102.0,0.00029,92755.19
103,-26.90990287,0.31088287,103.0,0.000282,94313.86
104,-26.90975751,0.05440739,104.0,0.000286,95950.49
105,-26.90902574,0.05028695,105.0,0.00029,97531.81
106,-26.90973619,0.0961855,106.0,0.000262,99352.08
107,-26.90918305,0.06177131,107.0,0.000309,101052.09
108,-26.91016494,0.1572232,108.0,0.000272,102483.23
109,-26.9099188,0.09210982,109.0,0.000284,104185.89
110,-26.90947238,0.05168528,110.0,0.000301,105816.75
111,-26.90989268,0.07762737,111.0,0.00028,107285.51
112,-26.90926749,0.07053162,112.0,0.000298,108790.36
113,-26.90930278,0.06424686,113.0,0.000322,110237.07
114,-26.90947875,0.04889916,114.0,0.000275,111512.32
115,-26.90994309,0.0775056,115.0,0.000292,113204.48
116,-26.90948948,0.08412731,116.0,0.00031,114504.7
117,-26.90970509,0.06251841,117.0,0.000261,115953.88
118,-26.91010641,0.052392,118.0,0.00028,117854.21
119,-26.90975885,0.07116706,119.0,0.000295,119542.69
120,-26.90984783,0.05209891,120.0,0.000283,121380.43
121,-26.90974534,0.06172596,121.0,0.000265,122920.87
122,-26.910173,0.04908696,122.0,0.000272,124482.34
