,Iteration,Energy,Noise,Gradient,Time
0,0.0,-126.69904743,0.00274,18.6285512,569.91
1,1.0,-128.51859576,0.00222,3.18840624,1190.77
2,2.0,-128.81545362,0.0011,0.92508972,1729.63
3,3.0,-128.87368102,0.00101,0.1133384,2347.17
4,4.0,-128.88706007,0.000906,0.02495849,2923.75
5,5.0,-128.89033546,0.000863,0.02512051,3518.74
6,6.0,-128.89457624,0.000895,0.05601727,4168.31
7,7.0,-128.89785539,0.000758,0.08181026,4765.83
8,8.0,-128.89895514,0.00078,0.0444714,5294.85
9,9.0,-128.89816789,0.000816,0.03519339,5898.92
10,10.0,-128.90026396,0.000742,0.02841931,6377.53
11,11.0,-128.9002069,0.000741,0.02955568,6849.41
12,12.0,-128.9032629,0.000849,0.0344949,7323.29
13,13.0,-128.90148433,0.000845,0.01411888,7856.74
14,14.0,-128.90233637,0.000754,0.05678159,8343.12
15,15.0,-128.90467663,0.000837,0.07140175,9097.11
16,16.0,-128.90473338,0.000772,0.03686731,9576.43
17,17.0,-128.90595924,0.000716,0.04450894,10359.84
18,18.0,-128.90531027,0.000632,0.03647476,10895.53
19,19.0,-128.90632279,0.000805,0.02487634,11364.17
20,20.0,-128.9057475,0.0008,0.03380469,11935.59
21,21.0,-128.90522086,0.000733,0.02684911,12398.91
22,22.0,-128.90434493,0.000778,0.03309726,12884.37
23,23.0,-128.90316339,0.000779,0.02070062,13352.42
24,24.0,-128.90598575,0.000695,0.02931936,13818.39
25,25.0,-128.90524125,0.00075,0.04726039,14590.14
26,26.0,-128.90603081,0.00079,0.03416211,15322.01
27,27.0,-128.9063294,0.00126,0.04285001,15967.57
28,28.0,-128.90636202,0.000826,0.04281192,16446.98
29,29.0,-128.90492332,0.00068,0.01991013,16924.51
30,30.0,-128.9046627,0.00133,0.0289667,17397.94
31,31.0,-128.90539415,0.000881,0.02023494,17873.02
32,32.0,-128.90621368,0.00125,0.03296795,18363.88
33,33.0,-128.90671128,0.000874,0.03252433,18853.64
34,34.0,-128.90597876,0.00105,0.0171519,19326.55
35,35.0,-128.90689879,0.00099,0.02676765,19829.11
36,36.0,-128.90534106,0.000692,0.03108638,20296.71
37,37.0,-128.90522151,0.000965,0.01589694,20770.43
38,38.0,-128.90584157,0.000729,0.02244712,21268.39
39,39.0,-128.90525903,0.00074,0.05177431,21801.99
40,40.0,-128.907046,0.00069,0.0540971,22435.06
41,41.0,-128.90526835,0.000773,0.01923932,22910.68
42,42.0,-128.90562183,0.000629,0.05470481,23408.27
43,43.0,-128.9063627,0.00074,0.04244463,23953.71
44,44.0,-128.90705813,0.00077,0.02143373,24421.34
45,45.0,-128.90509006,0.000676,0.01690829,24896.88
46,46.0,-128.9054464,0.000703,0.01938087,25381.61
47,47.0,-128.90560698,0.000797,0.02808379,25877.12
48,48.0,-128.90526613,0.000845,0.02226495,26352.72
49,49.0,-128.9061435,0.000754,0.02412353,26839.87
