,Iteration,Energy,Noise,Gradient,Time
0,0.0,-126.69889987,0.00274,18.61730243,2422.18
1,1.0,-128.62933749,0.00267,0.41096048,4831.75
2,2.0,-128.7671189,0.00173,0.32948519,7246.16
3,3.0,-128.7919318,0.00153,0.52165926,9656.83
4,4.0,-128.80936423,0.0017,0.62519838,12063.53
5,5.0,-128.83415717,0.00134,0.30169448,14474.51
6,6.0,-128.84737688,0.00147,0.27554431,16877.51
7,7.0,-128.8569144,0.00125,0.31338617,19286.86
8,8.0,-128.86188226,0.00114,0.21374103,21692.31
9,9.0,-128.86940799,0.0011,0.15581514,24101.28
10,10.0,-128.87616362,0.00113,0.36884445,26505.97
11,11.0,-128.88325987,0.00095,0.09199006,28910.96
12,12.0,-128.88763143,0.00103,0.19255018,31316.28
13,13.0,-128.89284428,0.000965,0.06731076,33725.85
14,14.0,-128.89896288,0.000897,0.11210547,36132.62
15,15.0,-128.90014261,0.000836,0.155023,38542.76
16,16.0,-128.90267077,0.000739,0.03789193,40949.11
17,17.0,-128.90377433,0.000887,0.04590936,43360.28
18,18.0,-128.90739713,0.000727,0.05215328,45769.53
19,19.0,-128.90775921,0.000757,0.03109121,48181.4
20,20.0,-128.90712654,0.000829,0.03034176,50590.16
21,21.0,-128.90646108,0.000767,0.02568035,53000.6
22,22.0,-128.90725614,0.000978,0.01469271,55405.21
23,23.0,-128.90783844,0.000652,0.01475553,57815.39
24,24.0,-128.90753685,0.000765,0.01986846,60226.83
25,25.0,-128.90970912,0.000872,0.0222894,62636.85
26,26.0,-128.9091038,0.000663,0.03370135,65047.66
27,27.0,-128.90848734,0.000737,0.02507138,67458.13
28,28.0,-128.90969148,0.000661,0.03162349,69863.73
29,29.0,-128.90989258,0.000669,0.01854959,72272.65
30,30.0,-128.90999623,0.000704,0.02396477,74680.44
31,31.0,-128.90873558,0.000577,0.03109091,77090.53
32,32.0,-128.90741546,0.000593,0.01968448,79501.06
33,33.0,-128.9073498,0.000816,0.0209391,81909.23
34,34.0,-128.90897823,0.000671,0.01777602,84314.49
35,35.0,-128.90792377,0.000666,0.02219564,86723.78
36,36.0,-128.90900713,0.0007,0.01587989,89129.14
37,37.0,-128.90805584,0.000693,0.01987665,91534.32
38,38.0,-128.90942915,0.000641,0.03276982,93944.54
39,39.0,-128.90745053,0.000599,0.01872984,96349.61
40,40.0,-128.90900539,0.000634,0.12216182,98759.4
41,41.0,-128.90784423,0.000609,0.09032633,101167.17
42,42.0,-128.90848265,0.000713,0.03341518,103578.93
43,43.0,-128.90864557,0.000691,0.06805156,105983.11
44,44.0,-128.90865226,0.000621,0.02881602,108393.01
45,45.0,-128.90856265,0.000678,0.03397735,110801.24
46,46.0,-128.90846926,0.000658,0.01368394,113210.09
47,47.0,-128.90767826,0.000806,0.01377215,115618.38
48,48.0,-128.90811721,0.000694,0.03823788,118027.6
49,49.0,-128.90783059,0.000591,0.01487003,120432.58
