,Iteration,Energy,Noise,Gradient,Time
0,0.0,-126.69889987,0.00274,18.61730243,1520.96
1,1.0,-128.51277349,0.00226,2.01811908,3074.12
2,2.0,-128.82363294,0.00119,0.79593584,4625.03
3,3.0,-128.87279078,0.000915,0.07797272,6174.27
4,4.0,-128.88839163,0.00111,0.03229685,7728.71
5,5.0,-128.89022881,0.000875,0.27330955,9280.0
6,6.0,-128.89122577,0.00103,0.060734,10833.18
7,7.0,-128.89519587,0.000863,0.10520923,12383.16
8,8.0,-128.89839296,0.00086,0.02268638,13934.41
9,9.0,-128.8984473,0.000867,0.03476596,15486.35
10,10.0,-128.90143973,0.000901,0.09858665,17038.65
11,11.0,-128.90119769,0.000792,0.03022988,18593.49
12,12.0,-128.90328144,0.000886,0.05198145,20142.88
13,13.0,-128.90373886,0.000661,0.046257,21695.43
14,14.0,-128.90599338,0.000762,0.03925151,23246.39
15,15.0,-128.90592095,0.00066,0.03015947,24797.69
16,16.0,-128.90685498,0.000636,0.03280634,26349.57
17,17.0,-128.90753883,0.00204,0.03761529,27897.2
18,18.0,-128.90697626,0.000743,0.02024418,29447.26
19,19.0,-128.90645636,0.000724,0.05901639,30997.43
20,20.0,-128.90710717,0.000845,0.07359321,32549.48
21,21.0,-128.90676134,0.000632,0.02234987,34098.41
22,22.0,-128.9071916,0.000895,0.01873379,35646.67
23,23.0,-128.90707754,0.000654,0.01997208,37204.3
24,24.0,-128.90804072,0.000594,0.01511541,38761.85
25,25.0,-128.90874512,0.000618,0.02444316,40311.94
26,26.0,-128.90828211,0.000715,0.01279223,41867.24
27,27.0,-128.90716232,0.000858,0.01745147,43417.91
28,28.0,-128.908528,0.000659,0.02723319,44970.97
29,29.0,-128.90939294,0.000847,0.02124001,46520.19
30,30.0,-128.90899141,0.000835,0.03009887,48074.48
31,31.0,-128.90880046,0.000648,0.02677046,49624.15
32,32.0,-128.90858979,0.000676,0.02971821,51171.62
33,33.0,-128.90796547,0.000642,0.02031624,52718.9
34,34.0,-128.90795594,0.000678,0.02277677,54267.95
35,35.0,-128.90751083,0.000619,0.01651174,55812.84
36,36.0,-128.90882015,0.000611,0.01846695,57368.81
37,37.0,-128.90742237,0.000646,0.02333505,58920.76
38,38.0,-128.90833863,0.000606,0.02365961,60475.77
39,39.0,-128.91019219,0.000923,0.04616565,62035.86
40,40.0,-128.90737196,0.000602,0.051297,63588.61
41,41.0,-128.90768128,0.000706,0.01337755,65134.95
42,42.0,-128.90929353,0.00069,0.18274731,66683.81
43,43.0,-128.90610134,0.000722,0.03801909,68187.1
