(0.57366,0) | (-0.618695,0)
(0.00749713,0) | (-0.00683419,0)
(-0.108526,0) | (0.111095,0)
(0.00194391,0) | (-0.00305479,0)
(0.0270588,0) | (-0.0382574,0)
(-0.00627204,0) | (0.0300327,0)
(0.00530966,0) | (-0.00139713,0)
(-0.0141711,0) | (0.0271222,0)
(0.00705198,0) | (0.0014501,0)
(-0.0194343,0) | (-0.0169115,0)
(-0.00146237,0) | (-0.0011504,0)
(-0.0456974,0) | (0.0201175,0)
(-0.060888,0) | (0.0153397,0)
(-0.0124175,0) | (-0.00472329,0)
(-0.0441692,0) | (0.0257708,0)
(-0.00358334,0) | (0.00709503,0)
(-0.0117339,0) | (0.0751741,0)
(0.00265356,0) | (0.053693,0)
(0.0219421,0) | (0.00535489,0)
(0.00082019,0) | (-0.0410334,0)
(0.0303889,0) | (0.0121865,0)
(-0.0150408,0) | (0.0033426,0)
(-0.00349845,0) | (0.000928998,0)
(-0.000429171,0) | (-0.00192829,0)
(0.00803709,0) | (0.00121486,0)
(0.019915,0) | (-0.00132993,0)
(0.0240742,0) | (0.000635061,0)
(-0.0317248,0) | (-0.00607724,0)
(0.00437655,0) | (0.00367265,0)
(0.0202307,0) | (-0.0180567,0)
(0.00947951,0) | (0.0011686,0)
(-0.00843918,0) | (0.0263861,0)
(-0.0235461,0) | (-0.00165365,0)
(0.0250014,0) | (-0.0263712,0)
(0.020192,0) | (-0.0187116,0)
(0.0109964,0) | (0.00202903,0)
(0.0100826,0) | (0.00369918,0)
(-0.0183185,0) | (0.0227211,0)
(0.00715168,0) | (-0.0154096,0)
(0.0185633,0) | (-0.00421827,0)
(0.0357689,0) | (-0.0326665,0)
(-0.0105657,0) | (0.0212683,0)
(-0.0133201,0) | (-0.0296933,0)
(-0.00148404,0) | (0.00436859,0)
(0.00852195,0) | (0.00941032,0)
(0.00182993,0) | (0.000109106,0)
(0.00657941,0) | (-0.0262963,0)
(-0.00684819,0) | (0.0039011,0)
(0.0297489,0) | (-0.0138356,0)
(0.0127793,0) | (0.0107748,0)
(0.0377399,0) | (-0.0107473,0)
(-0.0208727,0) | (-0.0198817,0)
(0.00196506,0) | (-0.000841455,0)
(0.00414377,0) | (-0.000195539,0)
(-0.00914787,0) | (-0.0115642,0)
(0.000502395,0) | (0.000379325,0)
(0.0202685,0) | (-0.0140304,0)
(0.0264427,0) | (-0.0181403,0)
(0.00712782,0) | (0.0270959,0)
(0.0556792,0) | (-0.0446074,0)
(-0.000495787,0) | (0.0157483,0)
(-0.00448911,0) | (-0.073535,0)
(-0.0122976,0) | (-0.00529978,0)
(0.0120295,0) | (-0.00990713,0)
(0.00018535,0) | (-0.00413792,0)
(0.0167951,0) | (-0.0420519,0)
(0.00313952,0) | (-0.00333707,0)
(0.0279077,0) | (-0.0437071,0)
(-0.0176159,0) | (-0.00465168,0)
(0.0506194,0) | (-0.0437542,0)
(0.0169492,0) | (-0.00545824,0)
(0.0374533,0) | (-0.0343308,0)
(-0.0139031,0) | (-0.0244831,0)
(-0.0322541,0) | (0.0182716,0)
(0.0330063,0) | (-0.0282098,0)
(0.0255697,0) | (-0.0287571,0)
(0.00120499,0) | (-0.000856783,0)
(-0.0907689,0) | (0.0920141,0)
(0.0051641,0) | (-0.0062459,0)
(0.0105419,0) | (-0.00101888,0)
(0.0690268,0) | (-0.0309293,0)
(-0.0364392,0) | (0.0114077,0)
(-0.0380196,0) | (0.00359049,0)
(-0.0100578,0) | (0.00296262,0)
(0.0310903,0) | (-0.0158694,0)
(0.00693858,0) | (0.00186557,0)
(-0.0237713,0) | (0.0346346,0)
(0.017566,0) | (-0.0302605,0)
(-0.00805186,0) | (0.0304404,0)
(0.0106476,0) | (-0.00109405,0)
(0.0155671,0) | (-0.00357994,0)
(-0.00166998,0) | (0.00254042,0)
(0.0646715,0) | (-0.0356188,0)
(0.00574287,0) | (0.000857851,0)
(-0.0307547,0) | (-0.00421685,0)
(-0.0243675,0) | (0.00239691,0)
(-0.0542273,0) | (0.0269328,0)
(0.0307907,0) | (-0.0220976,0)
(0.0106534,0) | (-0.0134283,0)
(-0.00568567,0) | (-0.02159,0)
(-0.0259589,0) | (0.039525,0)
(-0.0128168,0) | (0.0293323,0)
(0.00773428,0) | (0.00980195,0)
